,education_level,training_hours,gender,train_level
362,Masters,32,Male,1
363,Bachelor,51,Male,2
364,Bachelor,22,Male,1
365,High School,17,Male,1
367,Bachelor,19,Male,1
368,Masters,46,Male,2
369,Bachelor,15,Female,1
370,Masters,23,Male,1
371,Bachelor,38,Male,2
374,Bachelor,52,Male,2
375,Bachelor,22,Female,1
376,Masters,65,Male,2
378,Bachelor,86,Male,3
379,Bachelor,52,Male,2
381,Bachelor,86,Male,3
382,Masters,288,Male,9
383,Masters,53,Male,2
384,Bachelor,60,Male,2
385,Masters,178,Male,6
386,Phd,166,Male,5
387,Phd,62,Male,2
388,Bachelor,35,Male,2
389,Bachelor,106,Male,4
390,Bachelor,58,Male,2
391,Masters,44,Male,2
392,Masters,72,Male,3
394,Masters,166,Male,5
396,Bachelor,109,Male,4
397,Bachelor,37,Male,2
400,Bachelor,51,Male,2
401,Bachelor,84,Male,3
402,Bachelor,72,Male,3
403,High School,47,Male,2
404,Bachelor,47,Male,2
405,High School,20,Male,1
406,Bachelor,198,Male,6
407,Bachelor,64,Male,2
408,Masters,23,Male,1
409,Masters,96,Male,3
410,High School,306,Male,10
411,Bachelor,8,Male,1
412,Bachelor,48,Male,2
413,Bachelor,98,Male,3
415,Bachelor,53,Male,2
416,Bachelor,102,Male,4
418,Primary School,43,Male,2
419,Bachelor,32,Male,1
422,Masters,322,Female,10
424,Bachelor,7,Female,1
425,Bachelor,53,Male,2
426,Bachelor,161,Male,5
427,Masters,11,Male,1
429,Bachelor,72,Male,3
430,Masters,182,Female,6
431,Bachelor,67,Male,2
432,Bachelor,50,Female,2
433,Bachelor,16,Female,1
434,Bachelor,38,Male,2
435,Bachelor,98,Other,3
436,Bachelor,7,Male,1
437,Bachelor,88,Male,3
438,Masters,112,Male,4
439,Bachelor,30,Other,1
441,High School,36,Other,2
442,Bachelor,24,Male,1
443,Masters,28,Male,1
444,Bachelor,166,Male,5
445,Masters,61,Male,2
446,Bachelor,24,Male,1
447,Bachelor,8,Male,1
448,Bachelor,133,Male,4
449,Bachelor,143,Male,5
450,Bachelor,29,Male,1
452,Bachelor,11,Male,1
453,Bachelor,7,Male,1
454,Bachelor,87,Male,3
455,Bachelor,18,Male,1
456,Bachelor,76,Male,3
457,Bachelor,114,Male,4
459,Bachelor,30,Male,1
460,Bachelor,80,Male,3
461,Bachelor,52,Male,2
462,Bachelor,13,Female,1
465,Primary School,12,Male,1
466,Masters,36,Male,2
467,Masters,67,Male,2
469,Bachelor,100,Male,3
470,Phd,58,Male,2
471,Bachelor,18,Male,1
475,Bachelor,11,Male,1
476,Bachelor,15,Male,1
477,Bachelor,206,Male,7
480,Masters,88,Male,3
483,Masters,16,Male,1
484,Bachelor,95,Male,3
485,Bachelor,53,Male,2
486,Bachelor,220,Male,7
488,Masters,94,Male,3
489,Bachelor,20,Male,1
490,Bachelor,47,Male,2
491,Bachelor,60,Male,2
492,Bachelor,78,Male,3
495,Bachelor,2,Male,1
496,Bachelor,206,Female,7
497,High School,90,Male,3
498,Bachelor,25,Male,1
499,Bachelor,8,Male,1
500,Bachelor,22,Male,1
501,Bachelor,90,Male,3
503,High School,81,Male,3
504,Bachelor,120,Male,4
505,Bachelor,18,Male,1
507,Bachelor,314,Male,10
509,Bachelor,10,Male,1
511,Masters,25,Male,1
512,Bachelor,146,Male,5
513,Bachelor,26,Male,1
514,Bachelor,25,Male,1
515,Bachelor,50,Male,2
516,Bachelor,30,Male,1
517,Bachelor,39,Male,2
521,Bachelor,43,Male,2
523,Bachelor,21,Male,1
524,Bachelor,226,Male,7
525,Bachelor,60,Male,2
526,Bachelor,9,Male,1
527,Bachelor,50,Male,2
528,High School,280,Male,9
529,Bachelor,91,Male,3
530,Masters,15,Male,1
531,Bachelor,14,Male,1
532,Bachelor,74,Male,3
533,Bachelor,43,Male,2
534,Masters,52,Male,2
536,Bachelor,54,Male,2
537,Bachelor,50,Male,2
538,Bachelor,100,Male,3
539,Masters,42,Male,2
540,Phd,11,Male,1
541,Masters,74,Male,3
542,High School,17,Male,1
543,Bachelor,90,Male,3
544,Masters,234,Male,7
545,Bachelor,11,Male,1
546,Masters,163,Male,5
547,Bachelor,9,Male,1
548,Bachelor,36,Male,2
549,Bachelor,6,Male,1
550,Bachelor,72,Male,3
551,Bachelor,84,Male,3
552,Bachelor,24,Male,1
553,High School,77,Male,3
556,Bachelor,8,Male,1
557,Masters,8,Male,1
558,Bachelor,55,Male,2
559,Bachelor,74,Male,3
561,Bachelor,36,Male,2
563,Bachelor,151,Male,5
564,Bachelor,4,Male,1
565,Masters,102,Male,4
566,Bachelor,29,Male,1
567,Masters,78,Male,3
569,Bachelor,141,Male,5
570,High School,41,Male,2
571,Bachelor,13,Male,1
572,Masters,30,Male,1
573,Bachelor,104,Male,4
574,Bachelor,108,Male,4
577,Bachelor,98,Male,3
578,Masters,57,Female,2
579,Bachelor,44,Male,2
580,Masters,9,Male,1
582,Bachelor,53,Male,2
584,Masters,98,Female,3
586,Masters,107,Male,4
587,Bachelor,28,Male,1
588,Masters,24,Male,1
592,Bachelor,80,Male,3
594,Bachelor,96,Male,3
595,Bachelor,11,Male,1
596,Bachelor,46,Male,2
597,Bachelor,20,Male,1
598,Bachelor,46,Male,2
599,Primary School,14,Male,1
600,Bachelor,44,Male,2
602,Bachelor,34,Male,2
603,Bachelor,17,Male,1
604,Bachelor,40,Female,2
606,Bachelor,31,Male,1
607,Masters,45,Male,2
608,High School,32,Male,1
609,Bachelor,85,Male,3
610,Bachelor,110,Male,4
611,Masters,35,Male,2
612,Bachelor,6,Male,1
613,Masters,11,Male,1
614,Masters,61,Male,2
615,Masters,91,Male,3
616,Bachelor,28,Male,1
618,Bachelor,50,Male,2
619,Bachelor,204,Male,7
620,High School,256,Male,8
621,Bachelor,26,Male,1
622,Masters,168,Male,5
623,Bachelor,26,Male,1
624,Masters,37,Male,2
625,High School,17,Male,1
626,Bachelor,42,Male,2
627,Bachelor,67,Male,2
629,Bachelor,14,Male,1
630,Bachelor,218,Male,7
631,High School,22,Male,1
632,Bachelor,8,Male,1
633,Masters,38,Male,2
635,Bachelor,26,Male,1
637,Bachelor,50,Male,2
638,Masters,120,Female,4
639,Bachelor,100,Male,3
640,Bachelor,198,Male,6
642,Masters,80,Male,3
643,Bachelor,144,Female,5
644,Masters,41,Male,2
646,Masters,28,Male,1
647,Bachelor,20,Male,1
648,Bachelor,45,Male,2
649,Masters,55,Male,2
650,Bachelor,28,Male,1
651,Masters,96,Male,3
653,Bachelor,42,Male,2
656,Masters,66,Male,2
657,Bachelor,8,Male,1
658,High School,94,Male,3
659,Bachelor,40,Male,2
662,Masters,42,Male,2
663,Masters,8,Male,1
665,Bachelor,128,Male,4
666,Bachelor,25,Female,1
667,Masters,37,Male,2
670,Bachelor,21,Male,1
671,Bachelor,90,Female,3
672,High School,10,Male,1
673,Primary School,70,Male,3
674,Masters,106,Male,4
675,Bachelor,35,Male,2
676,Bachelor,73,Male,3
677,Bachelor,41,Male,2
678,Bachelor,22,Male,1
679,Masters,82,Male,3
681,Bachelor,44,Male,2
682,Bachelor,107,Male,4
683,Bachelor,19,Male,1
684,Bachelor,116,Male,4
685,High School,55,Male,2
687,Masters,78,Male,3
688,Bachelor,114,Male,4
689,Masters,56,Male,2
690,High School,6,Male,1
691,Bachelor,15,Male,1
692,Bachelor,54,Male,2
694,Bachelor,29,Male,1
696,Bachelor,23,Male,1
697,Bachelor,206,Male,7
699,Bachelor,24,Male,1
700,Bachelor,101,Male,4
701,Masters,56,Male,2
702,Masters,21,Male,1
703,Bachelor,77,Male,3
704,High School,14,Male,1
705,Bachelor,326,Male,10
706,Bachelor,20,Male,1
707,Bachelor,34,Male,2
709,Bachelor,31,Male,1
710,Bachelor,52,Male,2
712,Bachelor,19,Male,1
714,Bachelor,18,Male,1
715,Masters,4,Male,1
718,Bachelor,24,Male,1
720,High School,37,Male,2
721,Bachelor,116,Male,4
725,High School,28,Male,1
726,High School,42,Male,2
727,Bachelor,17,Female,1
729,Bachelor,58,Male,2
730,Bachelor,206,Male,7
731,Bachelor,57,Male,2
732,Bachelor,40,Male,2
733,High School,28,Male,1
735,Bachelor,34,Male,2
737,Bachelor,28,Male,1
738,Phd,154,Male,5
739,Bachelor,26,Male,1
740,Bachelor,6,Male,1
741,Bachelor,32,Male,1
742,High School,96,Male,3
743,Bachelor,70,Male,3
744,High School,4,Male,1
746,Bachelor,290,Male,9
747,Bachelor,168,Male,5
748,Bachelor,55,Female,2
750,High School,34,Male,2
752,Bachelor,8,Male,1
753,High School,63,Male,2
755,Bachelor,21,Male,1
756,Masters,123,Male,4
757,Bachelor,292,Male,9
758,Bachelor,7,Male,1
761,Bachelor,48,Male,2
762,Bachelor,188,Male,6
763,Bachelor,42,Male,2
764,High School,73,Male,3
765,Bachelor,156,Male,5
766,Bachelor,103,Male,4
767,Masters,15,Other,1
769,Bachelor,39,Male,2
771,Bachelor,96,Male,3
772,Bachelor,70,Male,3
773,Masters,4,Male,1
775,Bachelor,51,Male,2
777,Bachelor,6,Male,1
778,High School,68,Male,3
779,Phd,90,Male,3
781,Bachelor,4,Male,1
782,Bachelor,145,Male,5
783,Masters,9,Female,1
784,Bachelor,26,Male,1
785,High School,42,Male,2
786,Masters,45,Other,2
788,Masters,166,Male,5
789,Bachelor,72,Male,3
790,Masters,135,Female,5
791,Masters,138,Male,5
792,Bachelor,31,Male,1
793,Bachelor,25,Male,1
795,Masters,8,Male,1
797,Bachelor,32,Male,1
799,Masters,162,Male,5
800,Primary School,53,Male,2
801,Masters,12,Male,1
802,Masters,6,Female,1
803,Bachelor,31,Male,1
804,Masters,5,Male,1
805,Masters,66,Male,2
810,Bachelor,94,Male,3
811,Bachelor,39,Male,2
813,Bachelor,103,Male,4
814,Bachelor,7,Female,1
816,Bachelor,80,Male,3
817,Bachelor,11,Male,1
818,Bachelor,89,Male,3
819,Masters,32,Male,1
820,Bachelor,19,Male,1
821,Primary School,157,Male,5
822,Bachelor,110,Male,4
823,High School,90,Male,3
825,Bachelor,17,Male,1
827,Masters,56,Male,2
828,Masters,109,Male,4
829,Bachelor,118,Male,4
831,Masters,9,Male,1
834,Bachelor,48,Male,2
835,Bachelor,9,Male,1
836,High School,111,Male,4
837,Bachelor,28,Male,1
838,Bachelor,17,Male,1
839,Bachelor,109,Male,4
841,Bachelor,3,Male,1
842,Primary School,192,Male,6
843,Masters,136,Male,5
844,Bachelor,34,Male,2
845,Bachelor,48,Male,2
846,Bachelor,94,Male,3
847,High School,18,Male,1
849,Bachelor,172,Female,6
850,Bachelor,166,Male,5
851,Bachelor,28,Male,1
854,Bachelor,18,Male,1
855,Bachelor,9,Male,1
856,Bachelor,62,Male,2
857,Primary School,20,Male,1
858,Bachelor,51,Male,2
859,Masters,16,Female,1
861,Bachelor,108,Male,4
862,Bachelor,326,Male,10
863,Bachelor,10,Male,1
864,High School,53,Male,2
865,Bachelor,17,Male,1
867,Bachelor,20,Male,1
868,Masters,14,Male,1
869,Masters,16,Male,1
870,Bachelor,61,Male,2
871,Bachelor,57,Male,2
872,High School,22,Female,1
873,Bachelor,10,Female,1
874,Masters,127,Male,4
875,Bachelor,26,Male,1
876,High School,30,Male,1
877,Bachelor,27,Female,1
878,Masters,34,Female,2
879,Bachelor,48,Male,2
880,Bachelor,10,Male,1
881,Bachelor,62,Male,2
882,Bachelor,17,Male,1
883,Bachelor,54,Male,2
885,Masters,144,Male,5
886,Bachelor,42,Male,2
887,Bachelor,44,Male,2
890,Phd,25,Male,1
892,Masters,154,Male,5
894,High School,30,Male,1
897,Bachelor,84,Male,3
899,Bachelor,166,Male,5
900,Phd,19,Male,1
901,Bachelor,145,Male,5
903,Bachelor,35,Male,2
904,Bachelor,22,Female,1
905,High School,45,Male,2
906,Bachelor,21,Female,1
908,Masters,216,Male,7
912,Bachelor,11,Male,1
913,Masters,77,Male,3
914,Bachelor,8,Male,1
915,Masters,52,Male,2
916,Bachelor,39,Male,2
917,Bachelor,32,Male,1
918,Bachelor,83,Male,3
919,Bachelor,4,Male,1
920,Masters,18,Male,1
921,High School,49,Male,2
922,Masters,166,Male,5
923,Masters,32,Male,1
924,Primary School,14,Male,1
926,Bachelor,20,Male,1
927,Bachelor,23,Female,1
929,Bachelor,45,Male,2
930,Bachelor,52,Male,2
931,Bachelor,142,Male,5
932,Phd,131,Male,4
933,Bachelor,314,Male,10
935,Bachelor,27,Male,1
937,Bachelor,82,Other,3
938,Bachelor,21,Male,1
939,Bachelor,94,Male,3
940,Masters,78,Male,3
942,Bachelor,105,Female,4
943,Bachelor,22,Male,1
944,High School,12,Female,1
945,Masters,99,Female,3
946,Masters,76,Male,3
947,Bachelor,9,Male,1
948,Bachelor,162,Female,5
949,Bachelor,54,Male,2
950,Bachelor,78,Male,3
952,Bachelor,5,Male,1
953,Bachelor,110,Male,4
954,Bachelor,13,Male,1
955,Bachelor,37,Male,2
956,Bachelor,3,Male,1
957,High School,85,Male,3
958,Bachelor,14,Female,1
959,Bachelor,94,Male,3
961,High School,167,Male,5
962,Masters,14,Male,1
963,High School,4,Male,1
966,Phd,23,Male,1
971,Masters,68,Male,3
974,Bachelor,51,Male,2
975,Bachelor,45,Male,2
976,High School,56,Other,2
977,Masters,23,Male,1
978,Bachelor,30,Male,1
979,Bachelor,50,Male,2
980,High School,14,Male,1
981,Bachelor,12,Male,1
982,Masters,163,Male,5
983,Masters,17,Male,1
984,Masters,29,Male,1
985,Masters,52,Male,2
986,Bachelor,120,Male,4
987,High School,44,Male,2
988,Bachelor,67,Male,2
991,Bachelor,14,Male,1
992,High School,14,Male,1
993,Bachelor,81,Male,3
996,Phd,28,Female,1
997,Bachelor,42,Male,2
998,Bachelor,50,Male,2
999,Bachelor,105,Male,4
1000,Masters,162,Male,5
1001,Bachelor,6,Male,1
1003,Bachelor,41,Male,2
1006,Masters,21,Male,1
1007,Bachelor,83,Male,3
1008,Bachelor,14,Male,1
1009,Bachelor,26,Male,1
1010,Masters,90,Male,3
1011,Bachelor,122,Female,4
1012,High School,37,Male,2
1013,Phd,5,Male,1
1014,Bachelor,78,Male,3
1015,High School,36,Male,2
1016,Masters,156,Female,5
1017,Bachelor,14,Male,1
1019,Bachelor,97,Male,3
1020,Bachelor,19,Male,1
1021,Bachelor,57,Male,2
1022,Bachelor,3,Male,1
1023,Masters,24,Male,1
1024,Masters,34,Male,2
1025,Bachelor,18,Male,1
1026,Bachelor,53,Male,2
1027,High School,40,Male,2
1028,Bachelor,84,Male,3
1029,High School,154,Male,5
1030,High School,35,Male,2
1031,Bachelor,14,Male,1
1033,Bachelor,97,Male,3
1034,Masters,75,Male,3
1035,Bachelor,39,Male,2
1037,Bachelor,58,Male,2
1038,Bachelor,35,Male,2
1039,Bachelor,22,Male,1
1040,Bachelor,85,Male,3
1041,Primary School,50,Male,2
1042,Bachelor,127,Female,4
1043,Bachelor,276,Male,9
1046,Masters,14,Male,1
1048,Bachelor,64,Male,2
1049,Masters,10,Male,1
1050,Masters,88,Male,3
1052,Bachelor,29,Male,1
1053,Bachelor,31,Female,1
1054,Bachelor,9,Male,1
1055,Phd,28,Male,1
1056,Bachelor,121,Male,4
1058,Bachelor,23,Male,1
1059,High School,28,Male,1
1060,Bachelor,47,Male,2
1061,Bachelor,141,Other,5
1062,Masters,162,Female,5
1064,Primary School,47,Male,2
1065,Masters,32,Male,1
1067,Bachelor,84,Male,3
1068,Bachelor,69,Male,3
1069,Masters,24,Male,1
1071,High School,58,Male,2
1072,Bachelor,28,Male,1
1073,High School,18,Male,1
1076,High School,124,Male,4
1078,Bachelor,91,Male,3
1079,Bachelor,46,Male,2
1080,Masters,13,Male,1
1081,Masters,136,Male,5
1082,Bachelor,3,Male,1
1083,Bachelor,94,Male,3
1085,Bachelor,60,Male,2
1088,Masters,37,Male,2
1089,Bachelor,57,Male,2
1090,Bachelor,10,Female,1
1093,Bachelor,11,Male,1
1095,High School,20,Male,1
1097,Phd,144,Male,5
1098,Masters,152,Male,5
1099,Bachelor,13,Male,1
1100,Bachelor,42,Female,2
1101,High School,55,Male,2
1102,Bachelor,162,Male,5
1103,Bachelor,44,Male,2
1105,Bachelor,188,Male,6
1106,Bachelor,18,Female,1
1107,Bachelor,155,Male,5
1108,Bachelor,316,Male,10
1109,Bachelor,55,Male,2
1110,Masters,130,Male,4
1111,Masters,7,Male,1
1112,Bachelor,10,Male,1
1113,Masters,46,Male,2
1114,Masters,38,Male,2
1115,Bachelor,22,Male,1
1117,High School,28,Male,1
1119,Bachelor,72,Male,3
1121,Masters,178,Male,6
1122,Phd,12,Male,1
1123,Bachelor,50,Male,2
1124,Bachelor,32,Male,1
1125,Bachelor,6,Male,1
1126,Bachelor,6,Male,1
1128,Bachelor,150,Male,5
1129,Bachelor,47,Male,2
1130,Bachelor,48,Male,2
1131,Bachelor,55,Male,2
1132,Masters,28,Male,1
1133,Bachelor,20,Male,1
1136,Bachelor,4,Male,1
1137,Bachelor,104,Female,4
1139,Masters,15,Male,1
1140,Bachelor,166,Male,5
1141,Masters,163,Male,5
1142,Bachelor,12,Male,1
1144,Bachelor,12,Male,1
1145,High School,242,Female,8
1146,Bachelor,3,Male,1
1147,Bachelor,50,Male,2
1148,Primary School,73,Male,3
1149,Bachelor,6,Male,1
1150,Bachelor,46,Male,2
1151,Bachelor,12,Female,1
1152,Masters,7,Male,1
1153,Bachelor,63,Male,2
1155,Bachelor,50,Male,2
1156,Bachelor,43,Male,2
1157,Bachelor,70,Male,3
1158,Bachelor,140,Male,5
1159,Masters,47,Male,2
1160,Bachelor,8,Male,1
1163,Bachelor,88,Male,3
1168,Bachelor,24,Male,1
1169,Masters,78,Male,3
1172,Masters,218,Female,7
1173,Bachelor,155,Male,5
1174,Bachelor,61,Male,2
1175,Bachelor,12,Female,1
1176,Bachelor,101,Male,4
1177,Bachelor,202,Male,7
1179,Masters,90,Male,3
1180,High School,9,Male,1
1181,High School,136,Male,5
1184,High School,21,Male,1
1185,Bachelor,11,Male,1
1187,Bachelor,57,Male,2
1188,Bachelor,146,Female,5
1189,High School,88,Male,3
1191,High School,104,Male,4
1193,Bachelor,60,Female,2
1196,High School,162,Male,5
1197,Bachelor,3,Male,1
1199,Bachelor,116,Male,4
1201,Bachelor,83,Male,3
1202,Bachelor,74,Male,3
1203,Masters,82,Male,3
1204,Bachelor,21,Male,1
1205,Bachelor,99,Male,3
1206,Bachelor,45,Male,2
1207,Bachelor,3,Male,1
1208,Bachelor,34,Male,2
1209,Bachelor,111,Male,4
1210,Bachelor,70,Male,3
1211,Bachelor,82,Male,3
1212,Bachelor,48,Male,2
1214,Bachelor,24,Male,1
1216,Masters,8,Female,1
1217,Bachelor,2,Male,1
1218,Bachelor,9,Male,1
1220,Bachelor,76,Male,3
1221,Bachelor,22,Male,1
1222,Bachelor,36,Male,2
1223,Masters,56,Male,2
1224,Bachelor,123,Male,4
1225,Masters,36,Male,2
1226,Bachelor,43,Male,2
1227,Masters,24,Male,1
1228,Bachelor,94,Male,3
1229,Bachelor,20,Male,1
1230,Bachelor,22,Male,1
1231,Bachelor,166,Female,5
1232,Bachelor,48,Male,2
1233,Bachelor,85,Male,3
1234,Phd,15,Male,1
1235,Bachelor,24,Male,1
1237,Bachelor,17,Female,1
1238,Bachelor,25,Male,1
1242,Bachelor,60,Male,2
1245,Bachelor,28,Male,1
1246,Bachelor,102,Male,4
1247,Bachelor,13,Male,1
1248,Bachelor,18,Male,1
1249,Masters,284,Male,9
1251,Bachelor,28,Male,1
1252,Masters,13,Male,1
1253,Bachelor,82,Male,3
1254,Masters,30,Male,1
1255,Bachelor,30,Female,1
1256,Bachelor,38,Male,2
1257,High School,76,Male,3
1258,Bachelor,7,Male,1
1260,Bachelor,21,Male,1
1262,Bachelor,29,Male,1
1263,High School,56,Male,2
1264,High School,39,Male,2
1268,Bachelor,71,Male,3
1270,Masters,23,Male,1
1273,Masters,62,Male,2
1274,Masters,31,Male,1
1275,High School,26,Male,1
1276,Masters,21,Male,1
1277,Bachelor,19,Male,1
1278,Bachelor,19,Male,1
1279,Bachelor,44,Male,2
1280,Bachelor,20,Male,1
1281,Bachelor,98,Male,3
1282,Bachelor,178,Male,6
1283,Masters,62,Male,2
1284,Bachelor,81,Male,3
