,education_level,major_discipline,experience,target,experience_level
110,Graduate,STEM,8,0.0,Medium Experienced (8-14)
111,Graduate,STEM,10,0.0,Medium Experienced (8-14)
112,Graduate,STEM,4,1.0,Limit Experienced (0-7)
113,Graduate,STEM,2,0.0,Limit Experienced (0-7)
114,Masters,STEM,6,0.0,Limit Experienced (0-7)
115,Graduate,STEM,21,0.0,Experienced (>=15)
116,Graduate,STEM,3,1.0,Limit Experienced (0-7)
117,Graduate,STEM,7,0.0,Limit Experienced (0-7)
118,Graduate,STEM,9,0.0,Medium Experienced (8-14)
119,Graduate,Business Degree,10,0.0,Medium Experienced (8-14)
120,Graduate,STEM,11,0.0,Medium Experienced (8-14)
121,Phd,STEM,21,1.0,Experienced (>=15)
122,Graduate,STEM,12,0.0,Medium Experienced (8-14)
123,Graduate,STEM,6,0.0,Limit Experienced (0-7)
124,Masters,STEM,7,0.0,Limit Experienced (0-7)
125,Graduate,STEM,11,0.0,Medium Experienced (8-14)
126,Graduate,Humanities,3,0.0,Limit Experienced (0-7)
127,Graduate,STEM,21,0.0,Experienced (>=15)
128,Masters,STEM,15,0.0,Experienced (>=15)
129,Graduate,STEM,6,1.0,Limit Experienced (0-7)
130,Phd,STEM,21,0.0,Experienced (>=15)
131,Graduate,STEM,12,0.0,Medium Experienced (8-14)
132,Masters,STEM,21,0.0,Experienced (>=15)
133,Graduate,STEM,20,0.0,Experienced (>=15)
134,High School,None,2,0.0,Limit Experienced (0-7)
135,Phd,STEM,23,0.0,Experience not provided
136,None,None,3,0.0,Limit Experienced (0-7)
137,Masters,Humanities,3,1.0,Limit Experienced (0-7)
138,Graduate,STEM,2,0.0,Limit Experienced (0-7)
139,Graduate,STEM,10,0.0,Medium Experienced (8-14)
140,Masters,STEM,5,1.0,Limit Experienced (0-7)
141,Graduate,Other,8,0.0,Medium Experienced (8-14)
142,Graduate,STEM,9,0.0,Medium Experienced (8-14)
143,Graduate,STEM,21,0.0,Experienced (>=15)
144,Graduate,STEM,21,0.0,Experienced (>=15)
145,Masters,STEM,21,0.0,Experienced (>=15)
146,Graduate,No Major,14,0.0,Medium Experienced (8-14)
147,Graduate,STEM,12,1.0,Medium Experienced (8-14)
148,Graduate,STEM,6,0.0,Limit Experienced (0-7)
149,High School,None,4,0.0,Limit Experienced (0-7)
150,High School,None,9,0.0,Medium Experienced (8-14)
151,High School,None,4,1.0,Limit Experienced (0-7)
152,Phd,STEM,21,0.0,Experienced (>=15)
153,None,None,11,0.0,Medium Experienced (8-14)
154,Masters,Arts,21,0.0,Experienced (>=15)
155,Graduate,STEM,6,1.0,Limit Experienced (0-7)
156,Graduate,STEM,15,0.0,Experienced (>=15)
157,Graduate,STEM,14,1.0,Medium Experienced (8-14)
158,High School,None,6,0.0,Limit Experienced (0-7)
159,Graduate,STEM,13,0.0,Medium Experienced (8-14)
160,Graduate,No Major,17,0.0,Experienced (>=15)
161,Graduate,STEM,21,0.0,Experienced (>=15)
162,Graduate,Other,21,0.0,Experienced (>=15)
163,Masters,STEM,6,0.0,Limit Experienced (0-7)
164,Graduate,STEM,18,1.0,Experienced (>=15)
165,Masters,STEM,15,0.0,Experienced (>=15)
166,Graduate,STEM,21,0.0,Experienced (>=15)
167,Graduate,Arts,21,0.0,Experienced (>=15)
168,Graduate,STEM,21,0.0,Experienced (>=15)
169,Masters,STEM,21,1.0,Experienced (>=15)
170,Masters,STEM,10,0.0,Medium Experienced (8-14)
171,None,None,21,0.0,Experienced (>=15)
172,Masters,STEM,5,0.0,Limit Experienced (0-7)
173,High School,None,3,0.0,Limit Experienced (0-7)
174,High School,None,2,0.0,Limit Experienced (0-7)
175,Masters,STEM,21,0.0,Experienced (>=15)
176,Graduate,STEM,21,0.0,Experienced (>=15)
177,Masters,STEM,9,0.0,Medium Experienced (8-14)
178,Masters,STEM,21,0.0,Experienced (>=15)
179,Graduate,STEM,4,0.0,Limit Experienced (0-7)
180,Graduate,STEM,5,1.0,Limit Experienced (0-7)
181,Graduate,STEM,21,0.0,Experienced (>=15)
182,High School,None,6,0.0,Limit Experienced (0-7)
183,Masters,STEM,21,0.0,Experienced (>=15)
184,Masters,STEM,21,0.0,Experienced (>=15)
185,Graduate,STEM,4,0.0,Limit Experienced (0-7)
186,Graduate,STEM,10,1.0,Medium Experienced (8-14)
187,Graduate,STEM,21,0.0,Experienced (>=15)
188,Graduate,STEM,14,1.0,Medium Experienced (8-14)
189,Graduate,STEM,15,0.0,Experienced (>=15)
190,Graduate,STEM,12,0.0,Medium Experienced (8-14)
191,Masters,STEM,2,0.0,Limit Experienced (0-7)
192,Masters,STEM,13,1.0,Medium Experienced (8-14)
193,High School,None,1,0.0,Limit Experienced (0-7)
194,Masters,STEM,4,0.0,Limit Experienced (0-7)
195,Graduate,Humanities,14,0.0,Medium Experienced (8-14)
196,Graduate,STEM,15,0.0,Experienced (>=15)
197,High School,None,21,0.0,Experienced (>=15)
198,Graduate,STEM,13,0.0,Medium Experienced (8-14)
199,Graduate,STEM,21,0.0,Experienced (>=15)
200,Masters,STEM,9,1.0,Medium Experienced (8-14)
201,Graduate,STEM,2,0.0,Limit Experienced (0-7)
202,Graduate,STEM,7,0.0,Limit Experienced (0-7)
203,Graduate,STEM,5,0.0,Limit Experienced (0-7)
204,Graduate,STEM,3,1.0,Limit Experienced (0-7)
205,Graduate,STEM,5,1.0,Limit Experienced (0-7)
206,Masters,Humanities,2,0.0,Limit Experienced (0-7)
207,Graduate,Business Degree,21,1.0,Experienced (>=15)
208,Masters,Other,21,0.0,Experienced (>=15)
209,Graduate,STEM,2,0.0,Limit Experienced (0-7)
210,Masters,STEM,0,1.0,Limit Experienced (0-7)
211,Graduate,STEM,4,0.0,Limit Experienced (0-7)
212,Graduate,STEM,3,0.0,Limit Experienced (0-7)
213,Primary School,None,4,0.0,Limit Experienced (0-7)
214,Masters,STEM,3,0.0,Limit Experienced (0-7)
215,Graduate,STEM,5,0.0,Limit Experienced (0-7)
216,Masters,STEM,21,0.0,Experienced (>=15)
217,None,None,3,0.0,Limit Experienced (0-7)
218,Graduate,STEM,21,0.0,Experienced (>=15)
219,Graduate,STEM,6,0.0,Limit Experienced (0-7)
220,Graduate,STEM,9,0.0,Medium Experienced (8-14)
221,Phd,STEM,21,0.0,Experienced (>=15)
222,Masters,STEM,10,0.0,Medium Experienced (8-14)
223,Masters,STEM,3,0.0,Limit Experienced (0-7)
224,Masters,STEM,6,0.0,Limit Experienced (0-7)
225,Graduate,STEM,2,1.0,Limit Experienced (0-7)
226,Graduate,STEM,21,0.0,Experienced (>=15)
227,Graduate,STEM,2,0.0,Limit Experienced (0-7)
228,Graduate,STEM,5,0.0,Limit Experienced (0-7)
229,Masters,STEM,15,0.0,Experienced (>=15)
230,Graduate,STEM,5,0.0,Limit Experienced (0-7)
231,Graduate,STEM,9,0.0,Medium Experienced (8-14)
232,Graduate,STEM,2,1.0,Limit Experienced (0-7)
233,Graduate,STEM,13,0.0,Medium Experienced (8-14)
234,High School,None,9,0.0,Medium Experienced (8-14)
235,Masters,STEM,19,0.0,Experienced (>=15)
236,Phd,STEM,3,0.0,Limit Experienced (0-7)
237,Graduate,STEM,17,0.0,Experienced (>=15)
238,Graduate,STEM,21,0.0,Experienced (>=15)
239,Graduate,STEM,7,1.0,Limit Experienced (0-7)
240,Graduate,STEM,6,0.0,Limit Experienced (0-7)
241,High School,None,3,0.0,Limit Experienced (0-7)
242,Masters,STEM,13,0.0,Medium Experienced (8-14)
243,High School,None,9,0.0,Medium Experienced (8-14)
244,Graduate,STEM,21,0.0,Experienced (>=15)
245,High School,None,8,0.0,Medium Experienced (8-14)
246,Masters,STEM,10,0.0,Medium Experienced (8-14)
247,Masters,STEM,4,0.0,Limit Experienced (0-7)
248,High School,None,6,0.0,Limit Experienced (0-7)
249,Graduate,STEM,9,0.0,Medium Experienced (8-14)
250,Graduate,STEM,15,0.0,Experienced (>=15)
251,Graduate,STEM,21,0.0,Experienced (>=15)
252,Masters,STEM,6,1.0,Limit Experienced (0-7)
253,Graduate,STEM,7,1.0,Limit Experienced (0-7)
254,Graduate,STEM,3,0.0,Limit Experienced (0-7)
255,Graduate,Business Degree,2,0.0,Limit Experienced (0-7)
256,High School,None,3,0.0,Limit Experienced (0-7)
257,Masters,STEM,14,0.0,Medium Experienced (8-14)
258,Graduate,STEM,9,1.0,Medium Experienced (8-14)
259,Graduate,STEM,21,1.0,Experienced (>=15)
260,Graduate,STEM,0,1.0,Limit Experienced (0-7)
261,Masters,STEM,15,0.0,Experienced (>=15)
262,Masters,STEM,11,0.0,Medium Experienced (8-14)
263,Graduate,STEM,12,0.0,Medium Experienced (8-14)
264,Graduate,STEM,11,0.0,Medium Experienced (8-14)
265,Graduate,STEM,2,0.0,Limit Experienced (0-7)
266,Masters,STEM,3,0.0,Limit Experienced (0-7)
267,High School,None,5,1.0,Limit Experienced (0-7)
268,Graduate,STEM,14,0.0,Medium Experienced (8-14)
269,Primary School,None,5,0.0,Limit Experienced (0-7)
270,Graduate,STEM,0,1.0,Limit Experienced (0-7)
271,Primary School,None,1,0.0,Limit Experienced (0-7)
272,Graduate,STEM,5,0.0,Limit Experienced (0-7)
273,Phd,STEM,21,0.0,Experienced (>=15)
274,High School,None,10,0.0,Medium Experienced (8-14)
275,High School,None,7,0.0,Limit Experienced (0-7)
276,Graduate,STEM,13,0.0,Medium Experienced (8-14)
277,Graduate,STEM,5,0.0,Limit Experienced (0-7)
278,Graduate,STEM,6,0.0,Limit Experienced (0-7)
279,Graduate,STEM,4,0.0,Limit Experienced (0-7)
280,Masters,STEM,7,1.0,Limit Experienced (0-7)
281,Graduate,STEM,21,1.0,Experienced (>=15)
282,Graduate,STEM,5,0.0,Limit Experienced (0-7)
283,Graduate,STEM,9,0.0,Medium Experienced (8-14)
284,Graduate,STEM,10,0.0,Medium Experienced (8-14)
285,Graduate,STEM,9,0.0,Medium Experienced (8-14)
286,High School,None,0,0.0,Limit Experienced (0-7)
287,Graduate,STEM,8,0.0,Medium Experienced (8-14)
288,Graduate,STEM,10,0.0,Medium Experienced (8-14)
289,Graduate,STEM,15,0.0,Experienced (>=15)
290,Graduate,STEM,2,1.0,Limit Experienced (0-7)
291,Graduate,STEM,2,0.0,Limit Experienced (0-7)
292,Graduate,STEM,21,0.0,Experienced (>=15)
293,Masters,STEM,21,0.0,Experienced (>=15)
294,Graduate,STEM,4,0.0,Limit Experienced (0-7)
295,Graduate,STEM,19,0.0,Experienced (>=15)
296,Graduate,STEM,5,0.0,Limit Experienced (0-7)
297,Graduate,STEM,6,0.0,Limit Experienced (0-7)
298,Graduate,STEM,20,0.0,Experienced (>=15)
299,Graduate,STEM,4,0.0,Limit Experienced (0-7)
300,Masters,STEM,7,0.0,Limit Experienced (0-7)
301,None,None,4,1.0,Limit Experienced (0-7)
302,Graduate,STEM,9,0.0,Medium Experienced (8-14)
303,Masters,STEM,3,1.0,Limit Experienced (0-7)
304,Masters,STEM,10,0.0,Medium Experienced (8-14)
305,High School,None,2,0.0,Limit Experienced (0-7)
306,High School,None,3,1.0,Limit Experienced (0-7)
307,High School,None,4,1.0,Limit Experienced (0-7)
308,Graduate,STEM,21,0.0,Experienced (>=15)
309,Graduate,STEM,2,0.0,Limit Experienced (0-7)
310,Graduate,STEM,21,0.0,Experienced (>=15)
311,Graduate,STEM,2,1.0,Limit Experienced (0-7)
312,Graduate,STEM,21,1.0,Experienced (>=15)
313,Masters,STEM,21,0.0,Experienced (>=15)
314,Masters,STEM,11,0.0,Medium Experienced (8-14)
315,Primary School,None,3,0.0,Limit Experienced (0-7)
316,Primary School,None,4,0.0,Limit Experienced (0-7)
317,Phd,STEM,21,0.0,Experienced (>=15)
318,Graduate,STEM,2,0.0,Limit Experienced (0-7)
319,Masters,STEM,18,0.0,Experienced (>=15)
320,Masters,STEM,16,0.0,Experienced (>=15)
321,Graduate,STEM,21,1.0,Experienced (>=15)
322,Graduate,STEM,18,0.0,Experienced (>=15)
323,Graduate,STEM,15,0.0,Experienced (>=15)
324,Masters,STEM,15,0.0,Experienced (>=15)
325,Graduate,STEM,20,0.0,Experienced (>=15)
326,Masters,STEM,11,0.0,Medium Experienced (8-14)
327,Graduate,STEM,10,0.0,Medium Experienced (8-14)
328,Graduate,Humanities,3,0.0,Limit Experienced (0-7)
329,High School,None,6,0.0,Limit Experienced (0-7)
330,High School,None,6,0.0,Limit Experienced (0-7)
331,None,None,3,0.0,Limit Experienced (0-7)
332,Masters,STEM,9,1.0,Medium Experienced (8-14)
333,Graduate,No Major,14,0.0,Medium Experienced (8-14)
334,High School,None,9,0.0,Medium Experienced (8-14)
335,Graduate,STEM,7,0.0,Limit Experienced (0-7)
336,Graduate,STEM,3,1.0,Limit Experienced (0-7)
337,Masters,STEM,21,0.0,Experienced (>=15)
338,Graduate,STEM,14,0.0,Medium Experienced (8-14)
339,High School,None,11,0.0,Medium Experienced (8-14)
340,Graduate,STEM,3,0.0,Limit Experienced (0-7)
341,Graduate,STEM,15,0.0,Experienced (>=15)
342,High School,None,2,0.0,Limit Experienced (0-7)
343,Graduate,STEM,2,0.0,Limit Experienced (0-7)
344,Graduate,STEM,9,0.0,Medium Experienced (8-14)
345,Graduate,STEM,4,1.0,Limit Experienced (0-7)
346,Masters,STEM,5,0.0,Limit Experienced (0-7)
347,Primary School,None,2,0.0,Limit Experienced (0-7)
348,Masters,STEM,3,1.0,Limit Experienced (0-7)
349,Graduate,STEM,9,0.0,Medium Experienced (8-14)
350,Graduate,STEM,14,0.0,Medium Experienced (8-14)
351,Primary School,None,3,0.0,Limit Experienced (0-7)
352,Graduate,STEM,21,0.0,Experienced (>=15)
353,Graduate,STEM,15,0.0,Experienced (>=15)
354,Masters,STEM,5,0.0,Limit Experienced (0-7)
355,Masters,STEM,9,0.0,Medium Experienced (8-14)
356,Graduate,STEM,21,0.0,Experienced (>=15)
357,Graduate,STEM,20,1.0,Experienced (>=15)
358,Graduate,STEM,6,0.0,Limit Experienced (0-7)
359,Graduate,STEM,11,1.0,Medium Experienced (8-14)
360,High School,None,21,0.0,Experienced (>=15)
361,Graduate,Humanities,16,0.0,Experienced (>=15)
362,Masters,STEM,21,1.0,Experienced (>=15)
363,Graduate,STEM,18,0.0,Experienced (>=15)
364,Graduate,STEM,9,0.0,Medium Experienced (8-14)
365,High School,None,7,0.0,Limit Experienced (0-7)
366,None,None,3,0.0,Limit Experienced (0-7)
367,Graduate,STEM,5,0.0,Limit Experienced (0-7)
368,Masters,STEM,9,1.0,Medium Experienced (8-14)
369,Graduate,STEM,13,0.0,Medium Experienced (8-14)
370,Masters,STEM,21,1.0,Experienced (>=15)
371,Graduate,STEM,21,0.0,Experienced (>=15)
372,Masters,STEM,4,1.0,Limit Experienced (0-7)
373,Graduate,Business Degree,0,0.0,Limit Experienced (0-7)
374,Graduate,STEM,21,0.0,Experienced (>=15)
375,Graduate,STEM,0,1.0,Limit Experienced (0-7)
376,Masters,STEM,15,0.0,Experienced (>=15)
377,Graduate,No Major,14,0.0,Medium Experienced (8-14)
378,Graduate,STEM,7,0.0,Limit Experienced (0-7)
379,Graduate,STEM,4,1.0,Limit Experienced (0-7)
380,Masters,STEM,14,0.0,Medium Experienced (8-14)
381,Graduate,STEM,3,0.0,Limit Experienced (0-7)
382,Masters,STEM,5,1.0,Limit Experienced (0-7)
383,Masters,STEM,21,0.0,Experienced (>=15)
384,Graduate,STEM,17,0.0,Experienced (>=15)
385,Masters,STEM,18,0.0,Experienced (>=15)
386,Phd,STEM,21,0.0,Experienced (>=15)
387,Phd,Humanities,21,0.0,Experienced (>=15)
388,Graduate,STEM,7,0.0,Limit Experienced (0-7)
389,Graduate,STEM,17,0.0,Experienced (>=15)
390,Graduate,STEM,6,0.0,Limit Experienced (0-7)
391,Masters,None,23,1.0,Experience not provided
392,Masters,STEM,6,0.0,Limit Experienced (0-7)
393,High School,None,18,0.0,Experienced (>=15)
394,Masters,STEM,16,0.0,Experienced (>=15)
395,Masters,STEM,21,0.0,Experienced (>=15)
396,Graduate,Business Degree,21,0.0,Experienced (>=15)
397,Graduate,STEM,1,0.0,Limit Experienced (0-7)
398,Graduate,STEM,4,1.0,Limit Experienced (0-7)
399,None,None,3,0.0,Limit Experienced (0-7)
400,Graduate,STEM,9,0.0,Medium Experienced (8-14)
401,Graduate,STEM,16,0.0,Experienced (>=15)
402,Graduate,STEM,21,0.0,Experienced (>=15)
403,High School,None,21,0.0,Experienced (>=15)
404,Graduate,STEM,12,0.0,Medium Experienced (8-14)
405,High School,None,6,0.0,Limit Experienced (0-7)
406,Graduate,STEM,8,1.0,Medium Experienced (8-14)
407,Graduate,Other,2,0.0,Limit Experienced (0-7)
408,Masters,STEM,15,1.0,Experienced (>=15)
409,Masters,STEM,14,0.0,Medium Experienced (8-14)
410,High School,None,2,0.0,Limit Experienced (0-7)
411,Graduate,STEM,9,0.0,Medium Experienced (8-14)
412,Graduate,STEM,21,0.0,Experienced (>=15)
413,Graduate,STEM,8,1.0,Medium Experienced (8-14)
414,Phd,STEM,7,0.0,Limit Experienced (0-7)
415,Graduate,STEM,1,1.0,Limit Experienced (0-7)
416,Graduate,Arts,21,0.0,Experienced (>=15)
417,Graduate,STEM,4,0.0,Limit Experienced (0-7)
418,Primary School,None,1,0.0,Limit Experienced (0-7)
419,Graduate,STEM,21,0.0,Experienced (>=15)
420,Graduate,STEM,5,0.0,Limit Experienced (0-7)
421,Masters,STEM,8,0.0,Medium Experienced (8-14)
422,Masters,STEM,3,1.0,Limit Experienced (0-7)
423,None,None,21,0.0,Experienced (>=15)
424,Graduate,STEM,4,0.0,Limit Experienced (0-7)
425,Graduate,STEM,16,0.0,Experienced (>=15)
426,Graduate,STEM,10,0.0,Medium Experienced (8-14)
427,Masters,STEM,8,0.0,Medium Experienced (8-14)
428,Graduate,STEM,9,0.0,Medium Experienced (8-14)
429,Graduate,STEM,1,1.0,Limit Experienced (0-7)
430,Masters,Humanities,6,0.0,Limit Experienced (0-7)
431,Graduate,STEM,21,0.0,Experienced (>=15)
432,Graduate,STEM,1,0.0,Limit Experienced (0-7)
433,Graduate,STEM,5,0.0,Limit Experienced (0-7)
434,Graduate,STEM,21,0.0,Experienced (>=15)
435,Graduate,Arts,5,0.0,Limit Experienced (0-7)
436,Graduate,STEM,4,1.0,Limit Experienced (0-7)
437,Graduate,STEM,2,0.0,Limit Experienced (0-7)
438,Masters,STEM,4,0.0,Limit Experienced (0-7)
439,Graduate,STEM,15,1.0,Experienced (>=15)
440,Graduate,STEM,9,0.0,Medium Experienced (8-14)
441,High School,None,4,0.0,Limit Experienced (0-7)
442,Graduate,STEM,19,0.0,Experienced (>=15)
443,Masters,Humanities,2,0.0,Limit Experienced (0-7)
444,Graduate,STEM,10,0.0,Medium Experienced (8-14)
445,Masters,STEM,10,1.0,Medium Experienced (8-14)
446,Graduate,STEM,21,0.0,Experienced (>=15)
447,Graduate,STEM,10,1.0,Medium Experienced (8-14)
448,Graduate,STEM,9,0.0,Medium Experienced (8-14)
449,Graduate,STEM,14,0.0,Medium Experienced (8-14)
450,Graduate,STEM,21,0.0,Experienced (>=15)
451,Graduate,STEM,7,0.0,Limit Experienced (0-7)
452,Graduate,STEM,9,1.0,Medium Experienced (8-14)
453,Graduate,STEM,4,0.0,Limit Experienced (0-7)
454,Graduate,STEM,8,0.0,Medium Experienced (8-14)
455,Graduate,STEM,8,0.0,Medium Experienced (8-14)
456,Graduate,Arts,9,1.0,Medium Experienced (8-14)
457,Graduate,STEM,6,0.0,Limit Experienced (0-7)
458,High School,None,5,0.0,Limit Experienced (0-7)
459,Graduate,STEM,7,0.0,Limit Experienced (0-7)
460,Graduate,STEM,21,0.0,Experienced (>=15)
461,Graduate,STEM,14,0.0,Medium Experienced (8-14)
462,Graduate,STEM,0,0.0,Limit Experienced (0-7)
463,Graduate,STEM,4,0.0,Limit Experienced (0-7)
464,Masters,STEM,6,1.0,Limit Experienced (0-7)
465,Primary School,None,2,1.0,Limit Experienced (0-7)
466,Masters,Humanities,2,0.0,Limit Experienced (0-7)
467,Masters,STEM,21,0.0,Experienced (>=15)
468,Graduate,STEM,8,1.0,Medium Experienced (8-14)
469,Graduate,STEM,9,0.0,Medium Experienced (8-14)
470,Phd,STEM,15,0.0,Experienced (>=15)
471,Graduate,STEM,7,1.0,Limit Experienced (0-7)
472,Masters,STEM,2,1.0,Limit Experienced (0-7)
473,Masters,STEM,6,0.0,Limit Experienced (0-7)
474,Masters,STEM,2,0.0,Limit Experienced (0-7)
475,Graduate,STEM,0,0.0,Limit Experienced (0-7)
476,Graduate,STEM,4,1.0,Limit Experienced (0-7)
477,Graduate,Other,10,0.0,Medium Experienced (8-14)
478,Masters,STEM,9,0.0,Medium Experienced (8-14)
479,None,None,1,0.0,Limit Experienced (0-7)
480,Masters,STEM,21,0.0,Experienced (>=15)
481,Masters,Business Degree,0,0.0,Limit Experienced (0-7)
482,Graduate,STEM,8,0.0,Medium Experienced (8-14)
483,Masters,STEM,14,0.0,Medium Experienced (8-14)
484,Graduate,STEM,21,0.0,Experienced (>=15)
485,Graduate,STEM,6,0.0,Limit Experienced (0-7)
486,Graduate,STEM,21,1.0,Experienced (>=15)
487,Masters,STEM,21,0.0,Experienced (>=15)
488,Masters,STEM,21,0.0,Experienced (>=15)
489,Graduate,No Major,17,0.0,Experienced (>=15)
490,Graduate,STEM,8,1.0,Medium Experienced (8-14)
491,Graduate,STEM,21,0.0,Experienced (>=15)
