,education_level,training_hours,gender,train_level
684,Graduate,116,Male,4
685,High School,55,Male,2
687,Masters,78,Male,3
688,Graduate,114,Male,4
689,Masters,56,Male,2
690,High School,6,Male,1
691,Graduate,15,Male,1
692,Graduate,54,Male,2
694,Graduate,29,Male,1
696,Graduate,23,Male,1
697,Graduate,206,Male,7
699,Graduate,24,Male,1
700,Graduate,101,Male,4
701,Masters,56,Male,2
702,Masters,21,Male,1
703,Graduate,77,Male,3
704,High School,14,Male,1
705,Graduate,326,Male,10
706,Graduate,20,Male,1
707,Graduate,34,Male,2
709,Graduate,31,Male,1
710,Graduate,52,Male,2
712,Graduate,19,Male,1
714,Graduate,18,Male,1
715,Masters,4,Male,1
718,Graduate,24,Male,1
720,High School,37,Male,2
721,Graduate,116,Male,4
725,High School,28,Male,1
726,High School,42,Male,2
727,Graduate,17,Female,1
729,Graduate,58,Male,2
730,Graduate,206,Male,7
731,Graduate,57,Male,2
732,Graduate,40,Male,2
733,High School,28,Male,1
735,Graduate,34,Male,2
737,Graduate,28,Male,1
738,Phd,154,Male,5
739,Graduate,26,Male,1
740,Graduate,6,Male,1
741,Graduate,32,Male,1
742,High School,96,Male,3
743,Graduate,70,Male,3
744,High School,4,Male,1
746,Graduate,290,Male,9
747,Graduate,168,Male,5
748,Graduate,55,Female,2
750,High School,34,Male,2
752,Graduate,8,Male,1
753,High School,63,Male,2
755,Graduate,21,Male,1
756,Masters,123,Male,4
757,Graduate,292,Male,9
758,Graduate,7,Male,1
761,Graduate,48,Male,2
762,Graduate,188,Male,6
763,Graduate,42,Male,2
764,High School,73,Male,3
765,Graduate,156,Male,5
766,Graduate,103,Male,4
767,Masters,15,Other,1
769,Graduate,39,Male,2
771,Graduate,96,Male,3
772,Graduate,70,Male,3
773,Masters,4,Male,1
775,Graduate,51,Male,2
777,Graduate,6,Male,1
778,High School,68,Male,3
779,Phd,90,Male,3
781,Graduate,4,Male,1
782,Graduate,145,Male,5
783,Masters,9,Female,1
784,Graduate,26,Male,1
785,High School,42,Male,2
786,Masters,45,Other,2
788,Masters,166,Male,5
789,Graduate,72,Male,3
790,Masters,135,Female,5
791,Masters,138,Male,5
792,Graduate,31,Male,1
793,Graduate,25,Male,1
795,Masters,8,Male,1
797,Graduate,32,Male,1
799,Masters,162,Male,5
800,Primary School,53,Male,2
801,Masters,12,Male,1
802,Masters,6,Female,1
803,Graduate,31,Male,1
804,Masters,5,Male,1
805,Masters,66,Male,2
810,Graduate,94,Male,3
811,Graduate,39,Male,2
813,Graduate,103,Male,4
814,Graduate,7,Female,1
816,Graduate,80,Male,3
817,Graduate,11,Male,1
818,Graduate,89,Male,3
819,Masters,32,Male,1
820,Graduate,19,Male,1
821,Primary School,157,Male,5
822,Graduate,110,Male,4
823,High School,90,Male,3
825,Graduate,17,Male,1
827,Masters,56,Male,2
828,Masters,109,Male,4
829,Graduate,118,Male,4
831,Masters,9,Male,1
834,Graduate,48,Male,2
835,Graduate,9,Male,1
836,High School,111,Male,4
837,Graduate,28,Male,1
838,Graduate,17,Male,1
839,Graduate,109,Male,4
841,Graduate,3,Male,1
842,Primary School,192,Male,6
843,Masters,136,Male,5
844,Graduate,34,Male,2
845,Graduate,48,Male,2
846,Graduate,94,Male,3
847,High School,18,Male,1
849,Graduate,172,Female,6
850,Graduate,166,Male,5
851,Graduate,28,Male,1
854,Graduate,18,Male,1
855,Graduate,9,Male,1
856,Graduate,62,Male,2
857,Primary School,20,Male,1
858,Graduate,51,Male,2
859,Masters,16,Female,1
861,Graduate,108,Male,4
862,Graduate,326,Male,10
863,Graduate,10,Male,1
864,High School,53,Male,2
865,Graduate,17,Male,1
867,Graduate,20,Male,1
868,Masters,14,Male,1
869,Masters,16,Male,1
870,Graduate,61,Male,2
871,Graduate,57,Male,2
872,High School,22,Female,1
873,Graduate,10,Female,1
874,Masters,127,Male,4
875,Graduate,26,Male,1
876,High School,30,Male,1
877,Graduate,27,Female,1
878,Masters,34,Female,2
879,Graduate,48,Male,2
880,Graduate,10,Male,1
881,Graduate,62,Male,2
882,Graduate,17,Male,1
883,Graduate,54,Male,2
885,Masters,144,Male,5
886,Graduate,42,Male,2
887,Graduate,44,Male,2
890,Phd,25,Male,1
892,Masters,154,Male,5
894,High School,30,Male,1
897,Graduate,84,Male,3
899,Graduate,166,Male,5
900,Phd,19,Male,1
901,Graduate,145,Male,5
903,Graduate,35,Male,2
904,Graduate,22,Female,1
905,High School,45,Male,2
906,Graduate,21,Female,1
908,Masters,216,Male,7
912,Graduate,11,Male,1
913,Masters,77,Male,3
914,Graduate,8,Male,1
915,Masters,52,Male,2
916,Graduate,39,Male,2
917,Graduate,32,Male,1
918,Graduate,83,Male,3
919,Graduate,4,Male,1
920,Masters,18,Male,1
921,High School,49,Male,2
922,Masters,166,Male,5
923,Masters,32,Male,1
924,Primary School,14,Male,1
926,Graduate,20,Male,1
927,Graduate,23,Female,1
929,Graduate,45,Male,2
930,Graduate,52,Male,2
931,Graduate,142,Male,5
932,Phd,131,Male,4
933,Graduate,314,Male,10
935,Graduate,27,Male,1
937,Graduate,82,Other,3
938,Graduate,21,Male,1
939,Graduate,94,Male,3
940,Masters,78,Male,3
942,Graduate,105,Female,4
943,Graduate,22,Male,1
944,High School,12,Female,1
945,Masters,99,Female,3
946,Masters,76,Male,3
947,Graduate,9,Male,1
948,Graduate,162,Female,5
949,Graduate,54,Male,2
950,Graduate,78,Male,3
952,Graduate,5,Male,1
953,Graduate,110,Male,4
954,Graduate,13,Male,1
955,Graduate,37,Male,2
956,Graduate,3,Male,1
957,High School,85,Male,3
958,Graduate,14,Female,1
959,Graduate,94,Male,3
961,High School,167,Male,5
962,Masters,14,Male,1
963,High School,4,Male,1
966,Phd,23,Male,1
971,Masters,68,Male,3
974,Graduate,51,Male,2
975,Graduate,45,Male,2
976,High School,56,Other,2
977,Masters,23,Male,1
978,Graduate,30,Male,1
979,Graduate,50,Male,2
980,High School,14,Male,1
981,Graduate,12,Male,1
982,Masters,163,Male,5
983,Masters,17,Male,1
984,Masters,29,Male,1
985,Masters,52,Male,2
986,Graduate,120,Male,4
987,High School,44,Male,2
988,Graduate,67,Male,2
991,Graduate,14,Male,1
992,High School,14,Male,1
993,Graduate,81,Male,3
996,Phd,28,Female,1
997,Graduate,42,Male,2
998,Graduate,50,Male,2
999,Graduate,105,Male,4
1000,Masters,162,Male,5
1001,Graduate,6,Male,1
1003,Graduate,41,Male,2
1006,Masters,21,Male,1
1007,Graduate,83,Male,3
1008,Graduate,14,Male,1
1009,Graduate,26,Male,1
1010,Masters,90,Male,3
1011,Graduate,122,Female,4
1012,High School,37,Male,2
1013,Phd,5,Male,1
1014,Graduate,78,Male,3
1015,High School,36,Male,2
1016,Masters,156,Female,5
1017,Graduate,14,Male,1
1019,Graduate,97,Male,3
1020,Graduate,19,Male,1
1021,Graduate,57,Male,2
1022,Graduate,3,Male,1
1023,Masters,24,Male,1
1024,Masters,34,Male,2
1025,Graduate,18,Male,1
1026,Graduate,53,Male,2
1027,High School,40,Male,2
1028,Graduate,84,Male,3
1029,High School,154,Male,5
1030,High School,35,Male,2
1031,Graduate,14,Male,1
1033,Graduate,97,Male,3
1034,Masters,75,Male,3
1035,Graduate,39,Male,2
1037,Graduate,58,Male,2
1038,Graduate,35,Male,2
1039,Graduate,22,Male,1
1040,Graduate,85,Male,3
1041,Primary School,50,Male,2
1042,Graduate,127,Female,4
1043,Graduate,276,Male,9
1046,Masters,14,Male,1
1048,Graduate,64,Male,2
1049,Masters,10,Male,1
1050,Masters,88,Male,3
1052,Graduate,29,Male,1
1053,Graduate,31,Female,1
1054,Graduate,9,Male,1
1055,Phd,28,Male,1
1056,Graduate,121,Male,4
1058,Graduate,23,Male,1
1059,High School,28,Male,1
1060,Graduate,47,Male,2
1061,Graduate,141,Other,5
1062,Masters,162,Female,5
1064,Primary School,47,Male,2
1065,Masters,32,Male,1
1067,Graduate,84,Male,3
1068,Graduate,69,Male,3
1069,Masters,24,Male,1
1071,High School,58,Male,2
1072,Graduate,28,Male,1
1073,High School,18,Male,1
1076,High School,124,Male,4
1078,Graduate,91,Male,3
1079,Graduate,46,Male,2
1080,Masters,13,Male,1
1081,Masters,136,Male,5
1082,Graduate,3,Male,1
1083,Graduate,94,Male,3
1085,Graduate,60,Male,2
1088,Masters,37,Male,2
1089,Graduate,57,Male,2
1090,Graduate,10,Female,1
1093,Graduate,11,Male,1
1095,High School,20,Male,1
1097,Phd,144,Male,5
1098,Masters,152,Male,5
1099,Graduate,13,Male,1
1100,Graduate,42,Female,2
1101,High School,55,Male,2
1102,Graduate,162,Male,5
1103,Graduate,44,Male,2
1105,Graduate,188,Male,6
1106,Graduate,18,Female,1
1107,Graduate,155,Male,5
1108,Graduate,316,Male,10
1109,Graduate,55,Male,2
1110,Masters,130,Male,4
1111,Masters,7,Male,1
1112,Graduate,10,Male,1
1113,Masters,46,Male,2
1114,Masters,38,Male,2
1115,Graduate,22,Male,1
1117,High School,28,Male,1
1119,Graduate,72,Male,3
1121,Masters,178,Male,6
1122,Phd,12,Male,1
1123,Graduate,50,Male,2
1124,Graduate,32,Male,1
1125,Graduate,6,Male,1
1126,Graduate,6,Male,1
1128,Graduate,150,Male,5
1129,Graduate,47,Male,2
1130,Graduate,48,Male,2
1131,Graduate,55,Male,2
1132,Masters,28,Male,1
1133,Graduate,20,Male,1
1136,Graduate,4,Male,1
1137,Graduate,104,Female,4
1139,Masters,15,Male,1
1140,Graduate,166,Male,5
1141,Masters,163,Male,5
1142,Graduate,12,Male,1
1144,Graduate,12,Male,1
1145,High School,242,Female,8
1146,Graduate,3,Male,1
1147,Graduate,50,Male,2
1148,Primary School,73,Male,3
1149,Graduate,6,Male,1
1150,Graduate,46,Male,2
1151,Graduate,12,Female,1
1152,Masters,7,Male,1
1153,Graduate,63,Male,2
1155,Graduate,50,Male,2
1156,Graduate,43,Male,2
1157,Graduate,70,Male,3
1158,Graduate,140,Male,5
1159,Masters,47,Male,2
1160,Graduate,8,Male,1
1163,Graduate,88,Male,3
1168,Graduate,24,Male,1
1169,Masters,78,Male,3
1172,Masters,218,Female,7
1173,Graduate,155,Male,5
1174,Graduate,61,Male,2
1175,Graduate,12,Female,1
1176,Graduate,101,Male,4
1177,Graduate,202,Male,7
1179,Masters,90,Male,3
1180,High School,9,Male,1
1181,High School,136,Male,5
1184,High School,21,Male,1
1185,Graduate,11,Male,1
1187,Graduate,57,Male,2
1188,Graduate,146,Female,5
1189,High School,88,Male,3
1191,High School,104,Male,4
1193,Graduate,60,Female,2
1196,High School,162,Male,5
1197,Graduate,3,Male,1
1199,Graduate,116,Male,4
1201,Graduate,83,Male,3
1202,Graduate,74,Male,3
1203,Masters,82,Male,3
1204,Graduate,21,Male,1
1205,Graduate,99,Male,3
1206,Graduate,45,Male,2
1207,Graduate,3,Male,1
1208,Graduate,34,Male,2
1209,Graduate,111,Male,4
1210,Graduate,70,Male,3
1211,Graduate,82,Male,3
1212,Graduate,48,Male,2
1214,Graduate,24,Male,1
1216,Masters,8,Female,1
1217,Graduate,2,Male,1
1218,Graduate,9,Male,1
1220,Graduate,76,Male,3
1221,Graduate,22,Male,1
1222,Graduate,36,Male,2
1223,Masters,56,Male,2
1224,Graduate,123,Male,4
1225,Masters,36,Male,2
1226,Graduate,43,Male,2
1227,Masters,24,Male,1
1228,Graduate,94,Male,3
1229,Graduate,20,Male,1
1230,Graduate,22,Male,1
1231,Graduate,166,Female,5
1232,Graduate,48,Male,2
1233,Graduate,85,Male,3
1234,Phd,15,Male,1
1235,Graduate,24,Male,1
1237,Graduate,17,Female,1
1238,Graduate,25,Male,1
1242,Graduate,60,Male,2
1245,Graduate,28,Male,1
1246,Graduate,102,Male,4
1247,Graduate,13,Male,1
1248,Graduate,18,Male,1
1249,Masters,284,Male,9
1251,Graduate,28,Male,1
1252,Masters,13,Male,1
1253,Graduate,82,Male,3
1254,Masters,30,Male,1
1255,Graduate,30,Female,1
1256,Graduate,38,Male,2
1257,High School,76,Male,3
1258,Graduate,7,Male,1
1260,Graduate,21,Male,1
1262,Graduate,29,Male,1
1263,High School,56,Male,2
1264,High School,39,Male,2
1268,Graduate,71,Male,3
1270,Masters,23,Male,1
1273,Masters,62,Male,2
1274,Masters,31,Male,1
1275,High School,26,Male,1
1276,Masters,21,Male,1
1277,Graduate,19,Male,1
1278,Graduate,19,Male,1
1279,Graduate,44,Male,2
1280,Graduate,20,Male,1
1281,Graduate,98,Male,3
1282,Graduate,178,Male,6
1283,Masters,62,Male,2
1284,Graduate,81,Male,3
1285,Graduate,71,Male,3
1286,Graduate,72,Male,3
1287,Graduate,45,Male,2
1290,Phd,27,Female,1
1291,Graduate,23,Male,1
1292,Graduate,8,Male,1
1293,Graduate,36,Male,2
1294,Masters,72,Male,3
1295,Graduate,44,Male,2
1296,Graduate,50,Male,2
1297,Graduate,16,Male,1
1298,Graduate,31,Male,1
1299,High School,9,Male,1
1300,Graduate,14,Female,1
1301,Graduate,310,Male,10
1302,Graduate,94,Male,3
1303,Masters,9,Male,1
1304,Graduate,88,Male,3
1305,Graduate,26,Male,1
1306,Masters,11,Male,1
1308,Graduate,44,Male,2
1310,Graduate,46,Male,2
1311,Graduate,28,Male,1
1312,Masters,22,Male,1
1313,Graduate,44,Male,2
1314,Masters,32,Male,1
1315,High School,23,Male,1
1316,Graduate,47,Male,2
1317,Masters,78,Male,3
1319,Graduate,69,Male,3
1320,Graduate,69,Male,3
1321,Phd,51,Male,2
1322,Masters,84,Male,3
1324,High School,9,Male,1
1325,Graduate,6,Male,1
1326,Graduate,33,Female,1
1327,Graduate,55,Male,2
1328,Masters,35,Male,2
1329,Graduate,222,Male,7
1331,Graduate,250,Male,8
1332,Graduate,36,Male,2
1333,High School,4,Male,1
1334,Masters,80,Male,3
