,relevent_experience,company_size,training_hours
150,Has relevent experience,10/49,39
151,Has relevent experience,no experience,112
152,No relevent experience,50-99,14
153,Has relevent experience,no experience,4
154,Has relevent experience,1000-4999,55
155,Has relevent experience,10000+,49
156,Has relevent experience,no experience,72
157,Has relevent experience,5000-9999,141
158,No relevent experience,no experience,28
159,Has relevent experience,10000+,6
160,Has relevent experience,5000-9999,125
161,Has relevent experience,no experience,326
162,Has relevent experience,100-500,33
163,No relevent experience,10000+,40
164,Has relevent experience,no experience,198
165,Has relevent experience,10000+,55
166,No relevent experience,500-999,32
167,Has relevent experience,100-500,11
168,Has relevent experience,<10,41
169,Has relevent experience,10000+,87
170,Has relevent experience,100-500,114
171,Has relevent experience,no experience,33
172,Has relevent experience,<10,15
173,No relevent experience,no experience,8
174,Has relevent experience,100-500,22
175,Has relevent experience,5000-9999,13
176,Has relevent experience,<10,246
177,Has relevent experience,10/49,22
178,Has relevent experience,<10,81
179,Has relevent experience,10/49,11
180,No relevent experience,5000-9999,24
181,Has relevent experience,100-500,50
182,No relevent experience,no experience,15
183,Has relevent experience,10/49,31
184,Has relevent experience,50-99,84
185,Has relevent experience,10000+,42
186,Has relevent experience,10/49,105
187,Has relevent experience,50-99,72
188,Has relevent experience,10/49,42
189,Has relevent experience,50-99,152
190,Has relevent experience,10000+,60
191,No relevent experience,no experience,8
192,No relevent experience,no experience,17
193,No relevent experience,no experience,33
194,Has relevent experience,100-500,38
195,Has relevent experience,<10,178
196,Has relevent experience,50-99,11
197,Has relevent experience,no experience,87
198,Has relevent experience,no experience,84
199,Has relevent experience,100-500,32
200,Has relevent experience,100-500,31
201,No relevent experience,500-999,39
202,Has relevent experience,10/49,12
203,Has relevent experience,10000+,50
204,Has relevent experience,100-500,55
205,Has relevent experience,50-99,7
206,Has relevent experience,50-99,104
207,Has relevent experience,no experience,90
208,Has relevent experience,100-500,8
209,No relevent experience,no experience,102
210,Has relevent experience,10/49,202
211,Has relevent experience,100-500,22
212,No relevent experience,no experience,42
213,No relevent experience,no experience,50
214,Has relevent experience,50-99,88
215,Has relevent experience,1000-4999,81
216,Has relevent experience,10000+,7
217,No relevent experience,no experience,218
218,Has relevent experience,10000+,62
219,Has relevent experience,50-99,83
220,Has relevent experience,1000-4999,11
221,No relevent experience,50-99,10
222,Has relevent experience,1000-4999,114
223,Has relevent experience,50-99,36
224,No relevent experience,10/49,17
225,No relevent experience,no experience,80
226,Has relevent experience,50-99,108
227,Has relevent experience,100-500,45
228,No relevent experience,no experience,77
229,Has relevent experience,100-500,8
230,No relevent experience,no experience,28
231,Has relevent experience,100-500,37
232,No relevent experience,no experience,108
233,Has relevent experience,500-999,162
234,Has relevent experience,no experience,41
235,Has relevent experience,100-500,4
236,No relevent experience,1000-4999,41
237,Has relevent experience,10000+,12
238,Has relevent experience,50-99,190
239,Has relevent experience,50-99,29
240,Has relevent experience,100-500,11
241,No relevent experience,10000+,30
242,Has relevent experience,100-500,39
243,Has relevent experience,no experience,16
244,No relevent experience,50-99,5
245,No relevent experience,no experience,39
246,Has relevent experience,50-99,29
247,Has relevent experience,50-99,210
248,No relevent experience,50-99,54
249,Has relevent experience,50-99,44
250,Has relevent experience,no experience,47
251,Has relevent experience,1000-4999,74
252,Has relevent experience,10/49,8
253,No relevent experience,no experience,20
254,Has relevent experience,500-999,162
255,No relevent experience,50-99,110
256,Has relevent experience,10/49,262
257,Has relevent experience,no experience,6
258,Has relevent experience,10/49,19
259,No relevent experience,50-99,23
260,No relevent experience,no experience,107
261,Has relevent experience,10000+,134
262,Has relevent experience,10/49,40
263,Has relevent experience,50-99,11
264,Has relevent experience,no experience,102
265,No relevent experience,no experience,100
266,No relevent experience,10000+,30
267,No relevent experience,no experience,20
268,Has relevent experience,1000-4999,4
269,No relevent experience,no experience,15
270,No relevent experience,no experience,14
271,No relevent experience,no experience,103
272,Has relevent experience,1000-4999,40
273,Has relevent experience,100-500,27
274,No relevent experience,100-500,46
275,Has relevent experience,50-99,110
276,Has relevent experience,50-99,96
277,Has relevent experience,10000+,57
278,Has relevent experience,no experience,240
279,Has relevent experience,50-99,42
280,Has relevent experience,no experience,16
281,Has relevent experience,50-99,40
282,Has relevent experience,100-500,94
283,No relevent experience,5000-9999,160
284,No relevent experience,10/49,25
285,Has relevent experience,<10,11
286,Has relevent experience,100-500,29
287,Has relevent experience,no experience,23
288,Has relevent experience,10/49,113
289,Has relevent experience,no experience,56
290,No relevent experience,no experience,39
291,No relevent experience,1000-4999,20
292,Has relevent experience,10000+,40
293,Has relevent experience,<10,56
294,No relevent experience,no experience,106
295,Has relevent experience,500-999,64
296,Has relevent experience,10000+,51
297,Has relevent experience,1000-4999,41
298,Has relevent experience,100-500,150
299,Has relevent experience,10/49,320
300,Has relevent experience,no experience,20
301,No relevent experience,1000-4999,9
302,Has relevent experience,5000-9999,74
303,Has relevent experience,no experience,129
304,Has relevent experience,no experience,42
305,No relevent experience,100-500,58
306,No relevent experience,no experience,126
307,No relevent experience,no experience,45
308,Has relevent experience,10/49,166
309,Has relevent experience,50-99,110
310,Has relevent experience,no experience,37
311,Has relevent experience,no experience,95
312,Has relevent experience,no experience,29
313,Has relevent experience,50-99,31
314,No relevent experience,50-99,97
315,No relevent experience,no experience,16
316,No relevent experience,no experience,14
317,Has relevent experience,100-500,206
318,Has relevent experience,10/49,204
319,Has relevent experience,10000+,116
320,Has relevent experience,100-500,161
321,Has relevent experience,no experience,25
322,Has relevent experience,500-999,94
323,Has relevent experience,10000+,16
324,Has relevent experience,no experience,100
325,Has relevent experience,10000+,107
326,Has relevent experience,no experience,17
327,Has relevent experience,<10,140
328,Has relevent experience,10000+,75
329,Has relevent experience,no experience,59
330,Has relevent experience,50-99,146
331,No relevent experience,no experience,302
332,Has relevent experience,100-500,42
333,Has relevent experience,no experience,131
334,Has relevent experience,no experience,74
335,Has relevent experience,10000+,22
336,No relevent experience,no experience,53
337,Has relevent experience,500-999,143
338,Has relevent experience,50-99,72
339,Has relevent experience,500-999,7
340,No relevent experience,50-99,182
341,Has relevent experience,50-99,50
342,Has relevent experience,50-99,82
343,Has relevent experience,10000+,58
344,Has relevent experience,10/49,94
345,Has relevent experience,<10,60
346,Has relevent experience,100-500,124
347,No relevent experience,no experience,46
348,No relevent experience,no experience,57
349,Has relevent experience,50-99,17
350,Has relevent experience,5000-9999,101
351,No relevent experience,no experience,31
352,Has relevent experience,no experience,36
353,Has relevent experience,no experience,198
354,No relevent experience,10000+,31
355,Has relevent experience,50-99,12
356,Has relevent experience,50-99,31
357,Has relevent experience,no experience,26
358,Has relevent experience,50-99,55
359,Has relevent experience,no experience,8
360,Has relevent experience,100-500,38
361,Has relevent experience,no experience,8
362,Has relevent experience,1000-4999,32
363,Has relevent experience,100-500,51
364,Has relevent experience,5000-9999,22
365,Has relevent experience,no experience,17
366,No relevent experience,no experience,24
367,Has relevent experience,10/49,19
368,Has relevent experience,50-99,46
369,Has relevent experience,50-99,15
370,Has relevent experience,no experience,23
371,Has relevent experience,100-500,38
372,No relevent experience,no experience,46
373,No relevent experience,no experience,214
374,Has relevent experience,1000-4999,52
375,No relevent experience,no experience,22
376,Has relevent experience,100-500,65
377,Has relevent experience,50-99,64
378,Has relevent experience,5000-9999,86
379,No relevent experience,no experience,52
380,Has relevent experience,no experience,21
381,No relevent experience,1000-4999,86
382,No relevent experience,no experience,288
383,Has relevent experience,100-500,53
384,Has relevent experience,50-99,60
385,Has relevent experience,no experience,178
386,Has relevent experience,50-99,166
387,Has relevent experience,no experience,62
388,Has relevent experience,10000+,35
389,Has relevent experience,100-500,106
390,No relevent experience,<10,58
391,Has relevent experience,no experience,44
392,Has relevent experience,50-99,72
393,Has relevent experience,10000+,80
394,Has relevent experience,5000-9999,166
395,Has relevent experience,100-500,25
396,Has relevent experience,10000+,109
397,Has relevent experience,<10,37
398,No relevent experience,no experience,55
399,No relevent experience,no experience,32
400,No relevent experience,50-99,51
401,Has relevent experience,50-99,84
402,Has relevent experience,500-999,72
403,Has relevent experience,100-500,47
404,No relevent experience,no experience,47
405,Has relevent experience,<10,20
406,Has relevent experience,no experience,198
407,No relevent experience,1000-4999,64
408,Has relevent experience,10000+,23
409,No relevent experience,100-500,96
410,No relevent experience,no experience,306
411,Has relevent experience,<10,8
412,Has relevent experience,100-500,48
413,Has relevent experience,10/49,98
414,No relevent experience,500-999,46
415,No relevent experience,no experience,53
416,Has relevent experience,<10,102
417,No relevent experience,no experience,76
418,No relevent experience,no experience,43
419,No relevent experience,50-99,32
420,Has relevent experience,no experience,54
421,Has relevent experience,10/49,7
422,Has relevent experience,no experience,322
423,Has relevent experience,500-999,96
424,Has relevent experience,5000-9999,7
425,Has relevent experience,10/49,53
426,Has relevent experience,10/49,161
427,No relevent experience,10/49,11
428,Has relevent experience,100-500,6
429,No relevent experience,50-99,72
430,Has relevent experience,50-99,182
431,Has relevent experience,5000-9999,67
432,No relevent experience,no experience,50
433,No relevent experience,100-500,16
434,Has relevent experience,10000+,38
435,Has relevent experience,10/49,98
436,No relevent experience,no experience,7
437,No relevent experience,no experience,88
438,Has relevent experience,100-500,112
439,Has relevent experience,5000-9999,30
440,Has relevent experience,50-99,9
441,No relevent experience,10000+,36
442,Has relevent experience,100-500,24
443,Has relevent experience,10000+,28
444,Has relevent experience,50-99,166
445,Has relevent experience,50-99,61
446,Has relevent experience,50-99,24
447,No relevent experience,no experience,8
448,Has relevent experience,no experience,133
449,Has relevent experience,no experience,143
450,Has relevent experience,10/49,29
451,Has relevent experience,10000+,53
452,Has relevent experience,10000+,11
453,Has relevent experience,50-99,7
454,Has relevent experience,50-99,87
455,Has relevent experience,10/49,18
456,Has relevent experience,1000-4999,76
457,Has relevent experience,10000+,114
458,No relevent experience,no experience,56
459,Has relevent experience,50-99,30
460,Has relevent experience,500-999,80
461,Has relevent experience,1000-4999,52
462,Has relevent experience,50-99,13
463,Has relevent experience,100-500,42
464,Has relevent experience,50-99,56
465,No relevent experience,no experience,12
466,Has relevent experience,100-500,36
467,Has relevent experience,1000-4999,67
468,Has relevent experience,50-99,13
469,Has relevent experience,no experience,100
470,Has relevent experience,10000+,58
471,Has relevent experience,100-500,18
472,Has relevent experience,10000+,90
473,No relevent experience,10000+,59
474,Has relevent experience,10000+,35
475,Has relevent experience,10000+,11
476,Has relevent experience,no experience,15
477,Has relevent experience,50-99,206
478,Has relevent experience,50-99,130
479,No relevent experience,no experience,30
480,Has relevent experience,10000+,88
481,No relevent experience,10000+,18
482,Has relevent experience,10/49,41
483,Has relevent experience,10000+,16
484,Has relevent experience,1000-4999,95
485,No relevent experience,no experience,53
486,Has relevent experience,no experience,220
487,Has relevent experience,50-99,21
488,Has relevent experience,100-500,94
489,Has relevent experience,10/49,20
490,No relevent experience,no experience,47
491,Has relevent experience,no experience,60
492,Has relevent experience,10000+,78
493,No relevent experience,10000+,5
494,Has relevent experience,50-99,20
495,Has relevent experience,10000+,2
496,Has relevent experience,100-500,206
497,No relevent experience,no experience,90
498,Has relevent experience,100-500,25
499,Has relevent experience,10/49,8
500,Has relevent experience,500-999,22
501,Has relevent experience,100-500,90
502,Has relevent experience,<10,56
503,Has relevent experience,no experience,81
504,Has relevent experience,<10,120
505,Has relevent experience,50-99,18
506,Has relevent experience,50-99,19
507,Has relevent experience,5000-9999,314
508,No relevent experience,no experience,15
509,No relevent experience,no experience,10
510,Has relevent experience,50-99,39
511,Has relevent experience,no experience,25
512,No relevent experience,<10,146
513,Has relevent experience,no experience,26
514,Has relevent experience,100-500,25
515,Has relevent experience,50-99,50
516,Has relevent experience,10000+,30
517,Has relevent experience,10000+,39
518,No relevent experience,no experience,56
519,Has relevent experience,50-99,82
520,Has relevent experience,10000+,32
521,Has relevent experience,50-99,43
522,Has relevent experience,100-500,15
523,No relevent experience,no experience,21
524,Has relevent experience,10000+,226
525,Has relevent experience,no experience,60
526,Has relevent experience,no experience,9
527,Has relevent experience,50-99,50
528,No relevent experience,1000-4999,280
529,Has relevent experience,50-99,91
530,Has relevent experience,100-500,15
531,Has relevent experience,100-500,14
532,Has relevent experience,500-999,74
533,Has relevent experience,no experience,43
534,Has relevent experience,500-999,52
535,No relevent experience,no experience,75
536,Has relevent experience,100-500,54
537,No relevent experience,<10,50
538,Has relevent experience,no experience,100
539,Has relevent experience,<10,42
540,Has relevent experience,100-500,11
541,Has relevent experience,50-99,74
542,Has relevent experience,50-99,17
543,Has relevent experience,50-99,90
544,No relevent experience,100-500,234
545,No relevent experience,500-999,11
546,Has relevent experience,<10,163
547,Has relevent experience,50-99,9
548,No relevent experience,no experience,36
549,Has relevent experience,10/49,6
550,Has relevent experience,1000-4999,72
551,Has relevent experience,100-500,84
552,Has relevent experience,50-99,24
553,Has relevent experience,10/49,77
554,Has relevent experience,10000+,56
555,Has relevent experience,50-99,22
556,Has relevent experience,50-99,8
557,Has relevent experience,no experience,8
558,No relevent experience,no experience,55
559,Has relevent experience,100-500,74
560,No relevent experience,no experience,57
561,Has relevent experience,<10,36
562,No relevent experience,no experience,146
563,Has relevent experience,100-500,151
564,Has relevent experience,50-99,4
565,Has relevent experience,100-500,102
566,Has relevent experience,10000+,29
567,Has relevent experience,10000+,78
568,Has relevent experience,1000-4999,84
569,Has relevent experience,<10,141
570,Has relevent experience,100-500,41
571,Has relevent experience,no experience,13
572,Has relevent experience,50-99,30
573,Has relevent experience,100-500,104
574,No relevent experience,no experience,108
575,Has relevent experience,50-99,62
576,No relevent experience,50-99,21
577,Has relevent experience,<10,98
578,Has relevent experience,no experience,57
579,Has relevent experience,no experience,44
580,Has relevent experience,10/49,9
581,Has relevent experience,100-500,4
582,Has relevent experience,<10,53
583,Has relevent experience,500-999,108
584,No relevent experience,no experience,98
585,Has relevent experience,<10,112
586,Has relevent experience,10000+,107
587,Has relevent experience,no experience,28
588,Has relevent experience,100-500,24
589,Has relevent experience,500-999,28
590,Has relevent experience,no experience,15
591,No relevent experience,no experience,76
592,Has relevent experience,1000-4999,80
593,No relevent experience,no experience,32
594,Has relevent experience,100-500,96
595,No relevent experience,10/49,11
596,Has relevent experience,10/49,46
597,Has relevent experience,100-500,20
598,Has relevent experience,100-500,46
599,Has relevent experience,<10,14
600,No relevent experience,no experience,44
601,Has relevent experience,50-99,27
602,Has relevent experience,10000+,34
603,Has relevent experience,50-99,17
604,No relevent experience,100-500,40
605,No relevent experience,no experience,20
606,No relevent experience,no experience,31
607,Has relevent experience,1000-4999,45
608,No relevent experience,no experience,32
609,Has relevent experience,50-99,85
610,Has relevent experience,50-99,110
611,Has relevent experience,no experience,35
612,Has relevent experience,100-500,6
613,Has relevent experience,1000-4999,11
614,Has relevent experience,no experience,61
615,Has relevent experience,10/49,91
616,Has relevent experience,<10,28
617,Has relevent experience,100-500,18
618,Has relevent experience,100-500,50
619,No relevent experience,1000-4999,204
620,No relevent experience,50-99,256
621,Has relevent experience,5000-9999,26
622,Has relevent experience,10000+,168
623,No relevent experience,1000-4999,26
624,Has relevent experience,100-500,37
625,No relevent experience,no experience,17
626,Has relevent experience,no experience,42
627,No relevent experience,no experience,67
628,Has relevent experience,no experience,40
629,Has relevent experience,1000-4999,14
630,No relevent experience,500-999,218
631,Has relevent experience,no experience,22
632,Has relevent experience,50-99,8
633,Has relevent experience,10/49,38
634,No relevent experience,<10,29
635,Has relevent experience,1000-4999,26
636,Has relevent experience,10000+,22
637,Has relevent experience,100-500,50
638,Has relevent experience,50-99,120
639,Has relevent experience,100-500,100
640,Has relevent experience,50-99,198
641,Has relevent experience,<10,18
642,Has relevent experience,no experience,80
643,No relevent experience,50-99,144
644,Has relevent experience,no experience,41
645,Has relevent experience,10/49,54
646,Has relevent experience,10000+,28
647,Has relevent experience,10000+,20
648,No relevent experience,50-99,45
649,Has relevent experience,10000+,55
650,Has relevent experience,50-99,28
651,Has relevent experience,100-500,96
652,No relevent experience,no experience,18
653,No relevent experience,no experience,42
654,Has relevent experience,50-99,31
655,Has relevent experience,10000+,47
656,Has relevent experience,no experience,66
657,Has relevent experience,10000+,8
658,No relevent experience,no experience,94
659,Has relevent experience,no experience,40
660,Has relevent experience,10/49,15
661,Has relevent experience,500-999,53
662,Has relevent experience,10000+,42
663,Has relevent experience,5000-9999,8
664,Has relevent experience,5000-9999,182
665,Has relevent experience,100-500,128
666,Has relevent experience,50-99,25
667,Has relevent experience,100-500,37
668,No relevent experience,no experience,85
669,Has relevent experience,50-99,88
670,No relevent experience,10000+,21
671,Has relevent experience,100-500,90
672,No relevent experience,100-500,10
673,Has relevent experience,no experience,70
674,No relevent experience,1000-4999,106
675,Has relevent experience,100-500,35
676,No relevent experience,no experience,73
677,No relevent experience,no experience,41
678,Has relevent experience,1000-4999,22
679,Has relevent experience,1000-4999,82
680,Has relevent experience,100-500,20
681,Has relevent experience,10000+,44
682,Has relevent experience,10000+,107
683,Has relevent experience,no experience,19
684,Has relevent experience,10/49,116
685,No relevent experience,10000+,55
686,Has relevent experience,1000-4999,42
687,Has relevent experience,<10,78
688,Has relevent experience,no experience,114
689,Has relevent experience,100-500,56
690,No relevent experience,no experience,6
691,Has relevent experience,5000-9999,15
692,No relevent experience,100-500,54
693,Has relevent experience,100-500,114
694,Has relevent experience,no experience,29
695,No relevent experience,no experience,33
696,No relevent experience,50-99,23
697,Has relevent experience,50-99,206
698,No relevent experience,50-99,76
699,No relevent experience,10/49,24
700,Has relevent experience,10/49,101
701,No relevent experience,100-500,56
702,Has relevent experience,10000+,21
703,Has relevent experience,10000+,77
704,Has relevent experience,50-99,14
705,Has relevent experience,50-99,326
706,Has relevent experience,50-99,20
707,Has relevent experience,10/49,34
708,Has relevent experience,5000-9999,17
709,Has relevent experience,no experience,31
710,Has relevent experience,no experience,52
711,Has relevent experience,100-500,326
712,Has relevent experience,10000+,19
713,Has relevent experience,100-500,124
714,No relevent experience,no experience,18
715,No relevent experience,500-999,4
716,Has relevent experience,1000-4999,122
717,Has relevent experience,no experience,82
718,No relevent experience,no experience,24
719,Has relevent experience,no experience,11
720,No relevent experience,no experience,37
721,No relevent experience,no experience,116
722,No relevent experience,no experience,27
723,Has relevent experience,10/49,42
724,No relevent experience,1000-4999,33
725,No relevent experience,no experience,28
726,No relevent experience,no experience,42
727,No relevent experience,no experience,17
728,Has relevent experience,10/49,163
729,Has relevent experience,50-99,58
730,Has relevent experience,50-99,206
731,No relevent experience,10000+,57
732,Has relevent experience,500-999,40
733,No relevent experience,no experience,28
734,Has relevent experience,<10,30
735,Has relevent experience,10/49,34
736,No relevent experience,1000-4999,44
737,Has relevent experience,10000+,28
738,Has relevent experience,no experience,154
739,No relevent experience,no experience,26
740,Has relevent experience,10000+,6
741,No relevent experience,10000+,32
742,Has relevent experience,no experience,96
743,Has relevent experience,no experience,70
744,No relevent experience,no experience,4
745,Has relevent experience,10/49,86
746,Has relevent experience,10000+,290
747,Has relevent experience,100-500,168
748,Has relevent experience,no experience,55
749,Has relevent experience,no experience,42
750,Has relevent experience,no experience,34
751,No relevent experience,50-99,16
752,Has relevent experience,1000-4999,8
753,No relevent experience,no experience,63
754,No relevent experience,no experience,8
755,Has relevent experience,10000+,21
756,Has relevent experience,50-99,123
757,Has relevent experience,100-500,292
758,No relevent experience,no experience,7
759,Has relevent experience,no experience,23
760,No relevent experience,no experience,24
761,Has relevent experience,10/49,48
762,Has relevent experience,10/49,188
763,Has relevent experience,50-99,42
764,Has relevent experience,10/49,73
765,Has relevent experience,10000+,156
766,Has relevent experience,100-500,103
767,No relevent experience,no experience,15
768,Has relevent experience,50-99,74
769,Has relevent experience,100-500,39
770,Has relevent experience,50-99,92
771,Has relevent experience,500-999,96
772,Has relevent experience,1000-4999,70
773,Has relevent experience,50-99,4
774,No relevent experience,no experience,34
775,Has relevent experience,50-99,51
776,Has relevent experience,no experience,21
777,Has relevent experience,10000+,6
778,Has relevent experience,no experience,68
779,No relevent experience,1000-4999,90
780,Has relevent experience,50-99,71
781,Has relevent experience,100-500,4
782,Has relevent experience,50-99,145
783,No relevent experience,50-99,9
784,Has relevent experience,100-500,26
785,Has relevent experience,10000+,42
786,Has relevent experience,no experience,45
787,No relevent experience,no experience,53
788,Has relevent experience,50-99,166
789,Has relevent experience,100-500,72
790,Has relevent experience,10000+,135
791,No relevent experience,500-999,138
792,Has relevent experience,100-500,31
793,Has relevent experience,10000+,25
794,Has relevent experience,10000+,28
795,Has relevent experience,<10,8
796,No relevent experience,no experience,12
797,No relevent experience,50-99,32
798,Has relevent experience,100-500,77
799,Has relevent experience,no experience,162
800,No relevent experience,no experience,53
801,Has relevent experience,10/49,12
802,Has relevent experience,50-99,6
803,Has relevent experience,<10,31
804,Has relevent experience,100-500,5
805,Has relevent experience,1000-4999,66
806,Has relevent experience,500-999,184
807,Has relevent experience,no experience,4
808,Has relevent experience,no experience,182
809,No relevent experience,5000-9999,113
810,Has relevent experience,no experience,94
811,Has relevent experience,100-500,39
812,No relevent experience,100-500,61
813,Has relevent experience,500-999,103
814,Has relevent experience,10000+,7
815,No relevent experience,10000+,28
816,Has relevent experience,50-99,80
817,Has relevent experience,10000+,11
818,Has relevent experience,10/49,89
819,Has relevent experience,100-500,32
820,Has relevent experience,50-99,19
821,Has relevent experience,<10,157
822,Has relevent experience,10000+,110
823,Has relevent experience,1000-4999,90
824,Has relevent experience,10000+,80
825,Has relevent experience,100-500,17
826,Has relevent experience,10000+,20
827,Has relevent experience,10000+,56
828,Has relevent experience,10000+,109
829,Has relevent experience,100-500,118
830,No relevent experience,no experience,72
831,Has relevent experience,10000+,9
832,No relevent experience,10000+,15
833,Has relevent experience,no experience,28
834,Has relevent experience,1000-4999,48
835,Has relevent experience,10/49,9
836,No relevent experience,no experience,111
837,Has relevent experience,50-99,28
838,No relevent experience,no experience,17
839,Has relevent experience,10000+,109
840,Has relevent experience,10000+,35
841,Has relevent experience,10/49,3
842,No relevent experience,no experience,192
843,No relevent experience,<10,136
844,Has relevent experience,100-500,34
845,Has relevent experience,no experience,48
846,Has relevent experience,50-99,94
847,No relevent experience,no experience,18
848,Has relevent experience,500-999,12
849,Has relevent experience,50-99,172
850,No relevent experience,100-500,166
851,Has relevent experience,100-500,28
852,No relevent experience,100-500,42
853,No relevent experience,no experience,18
854,Has relevent experience,10000+,18
855,No relevent experience,10/49,9
856,No relevent experience,<10,62
857,Has relevent experience,10/49,20
858,Has relevent experience,1000-4999,51
859,Has relevent experience,50-99,16
860,No relevent experience,no experience,16
861,Has relevent experience,10000+,108
862,No relevent experience,no experience,326
863,Has relevent experience,no experience,10
864,No relevent experience,no experience,53
865,Has relevent experience,10/49,17
866,Has relevent experience,no experience,56
867,Has relevent experience,10/49,20
868,Has relevent experience,50-99,14
869,No relevent experience,no experience,16
870,No relevent experience,no experience,61
871,Has relevent experience,no experience,57
872,No relevent experience,no experience,22
873,No relevent experience,500-999,10
874,Has relevent experience,5000-9999,127
875,Has relevent experience,10000+,26
876,No relevent experience,no experience,30
877,Has relevent experience,50-99,27
878,Has relevent experience,1000-4999,34
879,Has relevent experience,no experience,48
