,education_level,major_discipline,experience,target,experience_level
183,Masters,STEM,21,0.0,Experienced
184,Masters,STEM,21,0.0,Experienced
185,Graduate,STEM,4,0.0,Limit Experienced
186,Graduate,STEM,10,1.0,Medium Experienced
187,Graduate,STEM,21,0.0,Experienced
188,Graduate,STEM,14,1.0,Medium Experienced
189,Graduate,STEM,15,0.0,Experienced
190,Graduate,STEM,12,0.0,Medium Experienced
191,Masters,STEM,2,0.0,Limit Experienced
192,Masters,STEM,13,1.0,Medium Experienced
193,High School,None,1,0.0,Limit Experienced
194,Masters,STEM,4,0.0,Limit Experienced
195,Graduate,Humanities,14,0.0,Medium Experienced
196,Graduate,STEM,15,0.0,Experienced
197,High School,None,21,0.0,Experienced
198,Graduate,STEM,13,0.0,Medium Experienced
199,Graduate,STEM,21,0.0,Experienced
200,Masters,STEM,9,1.0,Medium Experienced
201,Graduate,STEM,2,0.0,Limit Experienced
202,Graduate,STEM,7,0.0,Limit Experienced
203,Graduate,STEM,5,0.0,Limit Experienced
204,Graduate,STEM,3,1.0,Limit Experienced
205,Graduate,STEM,5,1.0,Limit Experienced
206,Masters,Humanities,2,0.0,Limit Experienced
207,Graduate,Business Degree,21,1.0,Experienced
208,Masters,Other,21,0.0,Experienced
209,Graduate,STEM,2,0.0,Limit Experienced
210,Masters,STEM,0,1.0,Limit Experienced
211,Graduate,STEM,4,0.0,Limit Experienced
212,Graduate,STEM,3,0.0,Limit Experienced
213,Primary School,None,4,0.0,Limit Experienced
214,Masters,STEM,3,0.0,Limit Experienced
215,Graduate,STEM,5,0.0,Limit Experienced
216,Masters,STEM,21,0.0,Experienced
217,None,None,3,0.0,Limit Experienced
218,Graduate,STEM,21,0.0,Experienced
219,Graduate,STEM,6,0.0,Limit Experienced
220,Graduate,STEM,9,0.0,Medium Experienced
221,Phd,STEM,21,0.0,Experienced
222,Masters,STEM,10,0.0,Medium Experienced
223,Masters,STEM,3,0.0,Limit Experienced
224,Masters,STEM,6,0.0,Limit Experienced
225,Graduate,STEM,2,1.0,Limit Experienced
226,Graduate,STEM,21,0.0,Experienced
227,Graduate,STEM,2,0.0,Limit Experienced
228,Graduate,STEM,5,0.0,Limit Experienced
229,Masters,STEM,15,0.0,Experienced
230,Graduate,STEM,5,0.0,Limit Experienced
231,Graduate,STEM,9,0.0,Medium Experienced
232,Graduate,STEM,2,1.0,Limit Experienced
233,Graduate,STEM,13,0.0,Medium Experienced
234,High School,None,9,0.0,Medium Experienced
235,Masters,STEM,19,0.0,Experienced
236,Phd,STEM,3,0.0,Limit Experienced
237,Graduate,STEM,17,0.0,Experienced
238,Graduate,STEM,21,0.0,Experienced
239,Graduate,STEM,7,1.0,Limit Experienced
240,Graduate,STEM,6,0.0,Limit Experienced
241,High School,None,3,0.0,Limit Experienced
242,Masters,STEM,13,0.0,Medium Experienced
243,High School,None,9,0.0,Medium Experienced
244,Graduate,STEM,21,0.0,Experienced
245,High School,None,8,0.0,Medium Experienced
246,Masters,STEM,10,0.0,Medium Experienced
247,Masters,STEM,4,0.0,Limit Experienced
248,High School,None,6,0.0,Limit Experienced
249,Graduate,STEM,9,0.0,Medium Experienced
250,Graduate,STEM,15,0.0,Experienced
251,Graduate,STEM,21,0.0,Experienced
252,Masters,STEM,6,1.0,Limit Experienced
253,Graduate,STEM,7,1.0,Limit Experienced
254,Graduate,STEM,3,0.0,Limit Experienced
255,Graduate,Business Degree,2,0.0,Limit Experienced
256,High School,None,3,0.0,Limit Experienced
257,Masters,STEM,14,0.0,Medium Experienced
258,Graduate,STEM,9,1.0,Medium Experienced
259,Graduate,STEM,21,1.0,Experienced
260,Graduate,STEM,0,1.0,Limit Experienced
261,Masters,STEM,15,0.0,Experienced
262,Masters,STEM,11,0.0,Medium Experienced
263,Graduate,STEM,12,0.0,Medium Experienced
264,Graduate,STEM,11,0.0,Medium Experienced
265,Graduate,STEM,2,0.0,Limit Experienced
266,Masters,STEM,3,0.0,Limit Experienced
267,High School,None,5,1.0,Limit Experienced
268,Graduate,STEM,14,0.0,Medium Experienced
269,Primary School,None,5,0.0,Limit Experienced
270,Graduate,STEM,0,1.0,Limit Experienced
271,Primary School,None,1,0.0,Limit Experienced
272,Graduate,STEM,5,0.0,Limit Experienced
273,Phd,STEM,21,0.0,Experienced
274,High School,None,10,0.0,Medium Experienced
275,High School,None,7,0.0,Limit Experienced
276,Graduate,STEM,13,0.0,Medium Experienced
277,Graduate,STEM,5,0.0,Limit Experienced
278,Graduate,STEM,6,0.0,Limit Experienced
279,Graduate,STEM,4,0.0,Limit Experienced
280,Masters,STEM,7,1.0,Limit Experienced
281,Graduate,STEM,21,1.0,Experienced
282,Graduate,STEM,5,0.0,Limit Experienced
283,Graduate,STEM,9,0.0,Medium Experienced
284,Graduate,STEM,10,0.0,Medium Experienced
285,Graduate,STEM,9,0.0,Medium Experienced
286,High School,None,0,0.0,Limit Experienced
287,Graduate,STEM,8,0.0,Medium Experienced
288,Graduate,STEM,10,0.0,Medium Experienced
289,Graduate,STEM,15,0.0,Experienced
290,Graduate,STEM,2,1.0,Limit Experienced
291,Graduate,STEM,2,0.0,Limit Experienced
292,Graduate,STEM,21,0.0,Experienced
293,Masters,STEM,21,0.0,Experienced
294,Graduate,STEM,4,0.0,Limit Experienced
295,Graduate,STEM,19,0.0,Experienced
296,Graduate,STEM,5,0.0,Limit Experienced
297,Graduate,STEM,6,0.0,Limit Experienced
298,Graduate,STEM,20,0.0,Experienced
299,Graduate,STEM,4,0.0,Limit Experienced
300,Masters,STEM,7,0.0,Limit Experienced
301,None,None,4,1.0,Limit Experienced
302,Graduate,STEM,9,0.0,Medium Experienced
303,Masters,STEM,3,1.0,Limit Experienced
304,Masters,STEM,10,0.0,Medium Experienced
305,High School,None,2,0.0,Limit Experienced
306,High School,None,3,1.0,Limit Experienced
307,High School,None,4,1.0,Limit Experienced
308,Graduate,STEM,21,0.0,Experienced
309,Graduate,STEM,2,0.0,Limit Experienced
310,Graduate,STEM,21,0.0,Experienced
311,Graduate,STEM,2,1.0,Limit Experienced
312,Graduate,STEM,21,1.0,Experienced
313,Masters,STEM,21,0.0,Experienced
314,Masters,STEM,11,0.0,Medium Experienced
315,Primary School,None,3,0.0,Limit Experienced
316,Primary School,None,4,0.0,Limit Experienced
317,Phd,STEM,21,0.0,Experienced
318,Graduate,STEM,2,0.0,Limit Experienced
319,Masters,STEM,18,0.0,Experienced
320,Masters,STEM,16,0.0,Experienced
321,Graduate,STEM,21,1.0,Experienced
322,Graduate,STEM,18,0.0,Experienced
323,Graduate,STEM,15,0.0,Experienced
324,Masters,STEM,15,0.0,Experienced
325,Graduate,STEM,20,0.0,Experienced
326,Masters,STEM,11,0.0,Medium Experienced
327,Graduate,STEM,10,0.0,Medium Experienced
328,Graduate,Humanities,3,0.0,Limit Experienced
329,High School,None,6,0.0,Limit Experienced
330,High School,None,6,0.0,Limit Experienced
331,None,None,3,0.0,Limit Experienced
332,Masters,STEM,9,1.0,Medium Experienced
333,Graduate,No Major,14,0.0,Medium Experienced
334,High School,None,9,0.0,Medium Experienced
335,Graduate,STEM,7,0.0,Limit Experienced
336,Graduate,STEM,3,1.0,Limit Experienced
337,Masters,STEM,21,0.0,Experienced
338,Graduate,STEM,14,0.0,Medium Experienced
339,High School,None,11,0.0,Medium Experienced
340,Graduate,STEM,3,0.0,Limit Experienced
341,Graduate,STEM,15,0.0,Experienced
342,High School,None,2,0.0,Limit Experienced
343,Graduate,STEM,2,0.0,Limit Experienced
344,Graduate,STEM,9,0.0,Medium Experienced
345,Graduate,STEM,4,1.0,Limit Experienced
346,Masters,STEM,5,0.0,Limit Experienced
347,Primary School,None,2,0.0,Limit Experienced
348,Masters,STEM,3,1.0,Limit Experienced
349,Graduate,STEM,9,0.0,Medium Experienced
350,Graduate,STEM,14,0.0,Medium Experienced
351,Primary School,None,3,0.0,Limit Experienced
352,Graduate,STEM,21,0.0,Experienced
353,Graduate,STEM,15,0.0,Experienced
354,Masters,STEM,5,0.0,Limit Experienced
355,Masters,STEM,9,0.0,Medium Experienced
356,Graduate,STEM,21,0.0,Experienced
357,Graduate,STEM,20,1.0,Experienced
358,Graduate,STEM,6,0.0,Limit Experienced
359,Graduate,STEM,11,1.0,Medium Experienced
360,High School,None,21,0.0,Experienced
361,Graduate,Humanities,16,0.0,Experienced
362,Masters,STEM,21,1.0,Experienced
363,Graduate,STEM,18,0.0,Experienced
364,Graduate,STEM,9,0.0,Medium Experienced
365,High School,None,7,0.0,Limit Experienced
366,None,None,3,0.0,Limit Experienced
367,Graduate,STEM,5,0.0,Limit Experienced
368,Masters,STEM,9,1.0,Medium Experienced
369,Graduate,STEM,13,0.0,Medium Experienced
370,Masters,STEM,21,1.0,Experienced
371,Graduate,STEM,21,0.0,Experienced
372,Masters,STEM,4,1.0,Limit Experienced
373,Graduate,Business Degree,0,0.0,Limit Experienced
374,Graduate,STEM,21,0.0,Experienced
375,Graduate,STEM,0,1.0,Limit Experienced
376,Masters,STEM,15,0.0,Experienced
377,Graduate,No Major,14,0.0,Medium Experienced
378,Graduate,STEM,7,0.0,Limit Experienced
379,Graduate,STEM,4,1.0,Limit Experienced
380,Masters,STEM,14,0.0,Medium Experienced
381,Graduate,STEM,3,0.0,Limit Experienced
382,Masters,STEM,5,1.0,Limit Experienced
383,Masters,STEM,21,0.0,Experienced
384,Graduate,STEM,17,0.0,Experienced
385,Masters,STEM,18,0.0,Experienced
386,Phd,STEM,21,0.0,Experienced
387,Phd,Humanities,21,0.0,Experienced
388,Graduate,STEM,7,0.0,Limit Experienced
389,Graduate,STEM,17,0.0,Experienced
390,Graduate,STEM,6,0.0,Limit Experienced
391,Masters,None,23,1.0,Experience Miss
392,Masters,STEM,6,0.0,Limit Experienced
393,High School,None,18,0.0,Experienced
394,Masters,STEM,16,0.0,Experienced
395,Masters,STEM,21,0.0,Experienced
396,Graduate,Business Degree,21,0.0,Experienced
397,Graduate,STEM,1,0.0,Limit Experienced
398,Graduate,STEM,4,1.0,Limit Experienced
399,None,None,3,0.0,Limit Experienced
400,Graduate,STEM,9,0.0,Medium Experienced
401,Graduate,STEM,16,0.0,Experienced
402,Graduate,STEM,21,0.0,Experienced
403,High School,None,21,0.0,Experienced
404,Graduate,STEM,12,0.0,Medium Experienced
405,High School,None,6,0.0,Limit Experienced
406,Graduate,STEM,8,1.0,Medium Experienced
407,Graduate,Other,2,0.0,Limit Experienced
408,Masters,STEM,15,1.0,Experienced
409,Masters,STEM,14,0.0,Medium Experienced
410,High School,None,2,0.0,Limit Experienced
411,Graduate,STEM,9,0.0,Medium Experienced
412,Graduate,STEM,21,0.0,Experienced
413,Graduate,STEM,8,1.0,Medium Experienced
414,Phd,STEM,7,0.0,Limit Experienced
415,Graduate,STEM,1,1.0,Limit Experienced
416,Graduate,Arts,21,0.0,Experienced
417,Graduate,STEM,4,0.0,Limit Experienced
418,Primary School,None,1,0.0,Limit Experienced
419,Graduate,STEM,21,0.0,Experienced
420,Graduate,STEM,5,0.0,Limit Experienced
421,Masters,STEM,8,0.0,Medium Experienced
422,Masters,STEM,3,1.0,Limit Experienced
423,None,None,21,0.0,Experienced
424,Graduate,STEM,4,0.0,Limit Experienced
425,Graduate,STEM,16,0.0,Experienced
426,Graduate,STEM,10,0.0,Medium Experienced
427,Masters,STEM,8,0.0,Medium Experienced
428,Graduate,STEM,9,0.0,Medium Experienced
429,Graduate,STEM,1,1.0,Limit Experienced
430,Masters,Humanities,6,0.0,Limit Experienced
431,Graduate,STEM,21,0.0,Experienced
432,Graduate,STEM,1,0.0,Limit Experienced
433,Graduate,STEM,5,0.0,Limit Experienced
434,Graduate,STEM,21,0.0,Experienced
435,Graduate,Arts,5,0.0,Limit Experienced
436,Graduate,STEM,4,1.0,Limit Experienced
437,Graduate,STEM,2,0.0,Limit Experienced
438,Masters,STEM,4,0.0,Limit Experienced
439,Graduate,STEM,15,1.0,Experienced
440,Graduate,STEM,9,0.0,Medium Experienced
441,High School,None,4,0.0,Limit Experienced
442,Graduate,STEM,19,0.0,Experienced
443,Masters,Humanities,2,0.0,Limit Experienced
444,Graduate,STEM,10,0.0,Medium Experienced
445,Masters,STEM,10,1.0,Medium Experienced
446,Graduate,STEM,21,0.0,Experienced
447,Graduate,STEM,10,1.0,Medium Experienced
448,Graduate,STEM,9,0.0,Medium Experienced
449,Graduate,STEM,14,0.0,Medium Experienced
450,Graduate,STEM,21,0.0,Experienced
451,Graduate,STEM,7,0.0,Limit Experienced
452,Graduate,STEM,9,1.0,Medium Experienced
453,Graduate,STEM,4,0.0,Limit Experienced
454,Graduate,STEM,8,0.0,Medium Experienced
455,Graduate,STEM,8,0.0,Medium Experienced
456,Graduate,Arts,9,1.0,Medium Experienced
457,Graduate,STEM,6,0.0,Limit Experienced
458,High School,None,5,0.0,Limit Experienced
459,Graduate,STEM,7,0.0,Limit Experienced
460,Graduate,STEM,21,0.0,Experienced
461,Graduate,STEM,14,0.0,Medium Experienced
462,Graduate,STEM,0,0.0,Limit Experienced
463,Graduate,STEM,4,0.0,Limit Experienced
464,Masters,STEM,6,1.0,Limit Experienced
465,Primary School,None,2,1.0,Limit Experienced
466,Masters,Humanities,2,0.0,Limit Experienced
467,Masters,STEM,21,0.0,Experienced
468,Graduate,STEM,8,1.0,Medium Experienced
469,Graduate,STEM,9,0.0,Medium Experienced
470,Phd,STEM,15,0.0,Experienced
471,Graduate,STEM,7,1.0,Limit Experienced
472,Masters,STEM,2,1.0,Limit Experienced
473,Masters,STEM,6,0.0,Limit Experienced
474,Masters,STEM,2,0.0,Limit Experienced
475,Graduate,STEM,0,0.0,Limit Experienced
476,Graduate,STEM,4,1.0,Limit Experienced
477,Graduate,Other,10,0.0,Medium Experienced
478,Masters,STEM,9,0.0,Medium Experienced
479,None,None,1,0.0,Limit Experienced
480,Masters,STEM,21,0.0,Experienced
481,Masters,Business Degree,0,0.0,Limit Experienced
482,Graduate,STEM,8,0.0,Medium Experienced
483,Masters,STEM,14,0.0,Medium Experienced
484,Graduate,STEM,21,0.0,Experienced
485,Graduate,STEM,6,0.0,Limit Experienced
486,Graduate,STEM,21,1.0,Experienced
487,Masters,STEM,21,0.0,Experienced
488,Masters,STEM,21,0.0,Experienced
489,Graduate,No Major,17,0.0,Experienced
490,Graduate,STEM,8,1.0,Medium Experienced
491,Graduate,STEM,21,0.0,Experienced
492,Graduate,STEM,6,1.0,Limit Experienced
493,Graduate,STEM,4,0.0,Limit Experienced
494,None,None,6,0.0,Limit Experienced
495,Graduate,STEM,21,0.0,Experienced
496,Graduate,STEM,9,0.0,Medium Experienced
497,High School,None,12,0.0,Medium Experienced
498,Graduate,STEM,12,0.0,Medium Experienced
499,Graduate,STEM,5,1.0,Limit Experienced
500,Graduate,STEM,9,0.0,Medium Experienced
501,Graduate,Humanities,19,0.0,Experienced
502,Graduate,STEM,9,0.0,Medium Experienced
503,High School,None,10,1.0,Medium Experienced
504,Graduate,STEM,7,0.0,Limit Experienced
505,Graduate,STEM,4,1.0,Limit Experienced
506,High School,None,21,0.0,Experienced
507,Graduate,STEM,8,0.0,Medium Experienced
508,Graduate,STEM,21,0.0,Experienced
509,Graduate,STEM,2,0.0,Limit Experienced
510,Graduate,STEM,3,0.0,Limit Experienced
511,Masters,STEM,8,1.0,Medium Experienced
512,Graduate,STEM,0,1.0,Limit Experienced
513,Graduate,STEM,3,0.0,Limit Experienced
514,Graduate,STEM,11,0.0,Medium Experienced
515,Graduate,STEM,21,1.0,Experienced
516,Graduate,STEM,9,0.0,Medium Experienced
517,Graduate,STEM,18,0.0,Experienced
518,High School,None,0,1.0,Limit Experienced
519,Graduate,STEM,3,1.0,Limit Experienced
520,Graduate,STEM,7,0.0,Limit Experienced
521,Graduate,STEM,21,1.0,Experienced
522,None,None,15,1.0,Experienced
523,Graduate,STEM,4,1.0,Limit Experienced
524,Graduate,Humanities,9,0.0,Medium Experienced
525,Graduate,STEM,14,0.0,Medium Experienced
526,Graduate,STEM,2,0.0,Limit Experienced
527,Graduate,STEM,7,0.0,Limit Experienced
528,High School,None,4,1.0,Limit Experienced
529,Graduate,STEM,3,0.0,Limit Experienced
530,Masters,STEM,5,1.0,Limit Experienced
531,Graduate,STEM,5,0.0,Limit Experienced
532,Graduate,STEM,10,0.0,Medium Experienced
533,Graduate,STEM,20,1.0,Experienced
534,Masters,STEM,14,0.0,Medium Experienced
535,None,None,1,0.0,Limit Experienced
536,Graduate,STEM,8,1.0,Medium Experienced
537,Graduate,STEM,8,0.0,Medium Experienced
538,Graduate,STEM,7,0.0,Limit Experienced
539,Masters,STEM,17,0.0,Experienced
540,Phd,STEM,21,0.0,Experienced
541,Masters,STEM,10,0.0,Medium Experienced
542,High School,None,7,0.0,Limit Experienced
543,Graduate,STEM,9,0.0,Medium Experienced
544,Masters,STEM,21,0.0,Experienced
545,Graduate,STEM,3,1.0,Limit Experienced
546,Masters,Humanities,7,0.0,Limit Experienced
547,Graduate,STEM,10,0.0,Medium Experienced
548,Graduate,Other,5,0.0,Limit Experienced
549,Graduate,STEM,5,0.0,Limit Experienced
550,Graduate,STEM,11,0.0,Medium Experienced
551,Graduate,STEM,18,0.0,Experienced
552,Graduate,STEM,14,0.0,Medium Experienced
553,High School,None,21,0.0,Experienced
554,Graduate,Other,20,0.0,Experienced
555,Graduate,STEM,13,0.0,Medium Experienced
556,Graduate,Humanities,17,0.0,Experienced
557,Masters,STEM,21,0.0,Experienced
558,Graduate,STEM,21,0.0,Experienced
559,Graduate,STEM,9,1.0,Medium Experienced
560,Masters,STEM,3,1.0,Limit Experienced
561,Graduate,STEM,2,0.0,Limit Experienced
562,None,None,2,0.0,Limit Experienced
563,Graduate,STEM,21,0.0,Experienced
564,Graduate,STEM,11,0.0,Medium Experienced
565,Masters,Other,2,0.0,Limit Experienced
566,Graduate,STEM,7,0.0,Limit Experienced
567,Masters,STEM,21,0.0,Experienced
568,Masters,STEM,14,0.0,Medium Experienced
569,Graduate,STEM,2,1.0,Limit Experienced
570,High School,None,8,1.0,Medium Experienced
571,Graduate,STEM,5,0.0,Limit Experienced
572,Masters,STEM,12,0.0,Medium Experienced
573,Graduate,STEM,8,1.0,Medium Experienced
574,Graduate,STEM,2,0.0,Limit Experienced
575,Graduate,STEM,9,0.0,Medium Experienced
576,Primary School,None,8,0.0,Medium Experienced
577,Graduate,STEM,12,0.0,Medium Experienced
578,Masters,Humanities,5,0.0,Limit Experienced
579,Graduate,STEM,21,1.0,Experienced
580,Masters,STEM,21,0.0,Experienced
581,Graduate,STEM,8,0.0,Medium Experienced
582,Graduate,STEM,21,0.0,Experienced
583,Masters,STEM,21,0.0,Experienced
584,Masters,STEM,7,1.0,Limit Experienced
585,Graduate,STEM,5,0.0,Limit Experienced
586,Masters,STEM,12,0.0,Medium Experienced
587,Graduate,STEM,21,1.0,Experienced
588,Masters,STEM,21,0.0,Experienced
589,Graduate,STEM,21,1.0,Experienced
590,Graduate,STEM,4,1.0,Limit Experienced
591,High School,None,2,0.0,Limit Experienced
592,Graduate,STEM,12,0.0,Medium Experienced
593,Graduate,STEM,3,1.0,Limit Experienced
594,Graduate,STEM,21,0.0,Experienced
595,Graduate,STEM,4,1.0,Limit Experienced
596,Graduate,STEM,15,0.0,Experienced
